"AFRICAN LANGUAGES & LITERA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","",""
"Intro-African Lang and Lit","201
001","39","3.149","30.8","15.4","17.9","12.8","17.9",".",".","2.6",".",".",".",".","2.6",".",".","."
"The African Storyteller","210
001","307","2.672","15.6","10.7","21.5","21.8","21.8","2.6","5.2","0.7",".",".",".",".",".",".",".","."
"Intro-Yoruba Life & Culture","230
001","20","3.921","85.0","5.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","76","3.105","18.4","15.8","43.4","13.2","9.2",".",".",".",".",".",".",".",".",".",".","."
"Intro-African Linguistics","301
001","16","3.767","62.5","18.8","12.5",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"","321
001","16","3.753","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
002","16","3.861","68.8","25.0",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","321
003","18","3.618","50.0","22.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
004","9","3.907","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
006","10","3.278","40.0","10.0","20.0",".","20.0",".",".","10.0",".",".",".",".",".",".",".","."
"","321
007","14","3.769","71.4","7.1","7.1","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"","008
321","16","3.280","31.3","12.5","25.0","12.5","6.3",".",".","6.3",".",".",".",".","6.3",".",".","."
"","321
009","18","3.603","50.0","11.1","16.7",".","5.6",".",".","16.7",".",".",".",".",".",".",".","."
"First Semester Arabic","Course Total","117","3.640","55.6","17.1","14.5","2.6","3.4",".",".","6.0",".",".",".",".","0.9",".",".","."
"","323
001","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323
002","13","3.308","46.2","15.4","7.7","15.4","15.4",".",".",".",".",".",".",".",".",".",".","."
"","323
003","17","3.500","41.2","17.6","17.6","11.8",".",".",".","5.9","5.9",".",".",".",".",".",".","."
"","323
004","17","3.441","35.3","29.4","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Arabic","Course Total","59","3.456","40.7","23.7","18.6","10.2","3.4",".",".","1.7","1.7",".",".",".",".",".",".","."
"","331
001","15","3.123","13.3","20.0","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","331
002","11","3.259","18.2","27.3","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Swahili","Course Total","26","3.183","15.4","23.1","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Swahili","333
001","14","3.250","14.3","35.7","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"1st Sem-Lang-South Africa","335
001","6","3.828","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Sem-Lang-South Africa","337
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Islam: Religion and Culture","370
001","28","3.518","35.7","39.3","21.4",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","371
001","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","8","3.615","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Yoruba","Course Total","27","3.832","70.4","25.9","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Yoruba","373
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem-Lang of West Africa","391
001","7","3.853","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Sem-Lang of West Africa","393
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp African Fiction","412
001","16","3.636","50.0","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Afrcn&Caribbn Drama","413
001","13","3.275","7.7","38.5","46.2",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"Adv Studies-Swahili Lang-Gr","435
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","445
001","25","3.420","40.0","16.0","32.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"","445
002","6","3.800","50.0","33.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","Course Total","31","3.483","41.9","19.4","25.8","9.7",".",".",".","3.2",".",".",".",".",".",".",".","."
"Fifth Semester Yoruba","475
001","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"5th Sem, Lang of W Africa","497
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","669
006","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
