"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","157","3.319","46.5","6.4","24.8","7.0","8.9","3.2",".","2.5",".",".",".",".",".",".","0.6","."
"Intro-Mus Cult of the World","103
001","44","3.202","27.3","15.9","29.5","13.6","9.1",".",".","2.3",".",".",".",".",".",".","2.3","."
"Opera","105
001","77","3.664","63.6","13.0","15.6","3.9","2.6",".",".","1.3",".",".",".",".",".",".",".","."
"Elements of Music","111
001","21","3.789","61.9","19.0","9.5",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"","113
001","550","3.977","96.5","1.3","1.6",".",".",".",".",".",".",".",".",".",".",".",".","0.5"
"","113
002","90","4.000","1.1",".",".",".",".",".",".","98.9",".",".",".",".",".",".",".","."
"Music in Performance","Course Total","640","3.977","83.1","1.1","1.4",".",".",".",".","13.9",".",".",".",".",".",".",".","0.5"
"","121
001","26","3.135","11.5","19.2","57.7","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"","121
002","37","3.135","13.5","21.6","54.1","5.4","2.7","2.7",".",".",".",".",".",".",".",".",".","."
"Musica Practica 1","Course Total","63","3.135","12.7","20.6","55.6","6.3","3.2","1.6",".",".",".",".",".",".",".",".",".","."
"","151
001","33","3.500","51.5","21.2","15.2",".",".","3.0","3.0","6.1",".",".",".",".",".",".",".","."
"","151
002","23","3.477","39.1","30.4","17.4",".","8.7",".",".","4.3",".",".",".",".",".",".",".","."
"","151
003","8","1.375",".",".","25.0",".","12.5","37.5","25.0",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","64","3.213","40.6","21.9","17.2",".","4.7","6.3","4.7","4.7",".",".",".",".",".",".",".","."
"","171
101","13","3.269","15.4","30.8","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","171
102","13","3.346","7.7","53.8","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
103","11","3.318","9.1","54.5","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","171
104","13","3.269","15.4","38.5","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","171
105","13","3.154",".","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","63","3.270","9.5","44.4","36.5","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"The Big Bands","205
001","294","3.535","47.6","21.8","16.3","7.1","3.4",".",".","1.0",".",".",".",".","0.3",".","2.4","."
"Survey-Hist Western Music","211
001","43","3.159","27.9","16.3","25.6","9.3","16.3",".",".","2.3",".",".",".",".","2.3",".",".","."
"","221
001","23","3.435","34.8","26.1","30.4","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","221
002","23","3.543","34.8","39.1","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 3","Course Total","46","3.489","34.8","32.6","28.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","253
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","253
002","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","36","3.986","94.4","2.8",".",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"","264
002","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","53","3.962","90.6","7.5",".",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"","265
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music Ensemble","266
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
