"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"","101
001","21","3.429","42.9","28.6","9.5","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"","101
002","17","3.412","41.2","23.5","17.6","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","101
003","20","3.425","65.0","5.0","10.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","101
004","23","3.370","39.1","17.4","30.4","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"","101
005","21","3.619","42.9","38.1","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006","20","3.200","40.0","15.0","25.0","5.0","10.0",".","5.0",".",".",".",".",".",".",".",".","."
"","101
007","16","3.700","62.5","12.5","12.5","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"First Semester German","Course Total","138","3.442","47.1","20.3","18.1","6.5","5.8",".","1.4","0.7",".",".",".",".",".",".",".","."
"","102
001","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","22","3.400","36.4","18.2","22.7","9.1","4.5",".",".","9.1",".",".",".",".",".",".",".","."
"","102
003","15","3.321","53.3","13.3",".","6.7","13.3","6.7",".","6.7",".",".",".",".",".",".",".","."
"","102
004","16","3.156","31.3","12.5","25.0","18.8","12.5",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","66","3.405","47.0","13.6","16.7","9.1","7.6","1.5",".","4.5",".",".",".",".",".",".",".","."
"","111
001","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","10","3.222","10.0","30.0","40.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"","111
003","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Dutch","Course Total","27","3.538","40.7","25.9","25.9","3.7",".",".",".","3.7",".",".",".",".",".",".",".","."
"","203
001","17","3.765","76.5","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","203
002","22","3.477","54.5","18.2","18.2","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"","203
003","21","3.738","81.0","14.3",".",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","203
004","23","3.630","69.6","13.0","13.0",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","203
005","18","3.556","55.6","11.1","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","203
006","14","3.308","42.9","14.3","21.4",".","7.1","7.1",".","7.1",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","115","3.592","64.3","13.9","13.9","0.9","2.6","0.9","2.6","0.9",".",".",".",".",".",".",".","."
"","204
001","21","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","22","3.750","81.8","9.1",".","4.5",".","4.5",".",".",".",".",".",".",".",".",".","."
"","204
004","22","3.841","77.3","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","65","3.831","80.0","13.8","3.1","1.5",".","1.5",".",".",".",".",".",".",".",".",".","."
"Third Semester Dutch","213
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dutch Conversatn&Compositn","235
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Dutch Life & Culture","245
001","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
001","20","3.725","70.0","15.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","249
002","20","3.750","65.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
003","18","3.528","66.7",".","16.7","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"","249
004","17","3.706","70.6","11.8","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Intermed German-Speak & Listen","Course Total","75","3.680","68.0","12.0","13.3","1.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","258
001","20","3.150","45.0","15.0","15.0","5.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","258
002","22","3.750","72.7","13.6","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","258
003","22","3.432","54.5","9.1","13.6","13.6","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Reading","Course Total","64","3.453","57.8","12.5","12.5","6.3","7.8","1.6","1.6",".",".",".",".",".",".",".",".","."
"","262
001","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
262","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Writing","Course Total","46","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
