"RELIGIOUS STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","","",""
"Intro Topics in Relig St (H)","200","001","","11","3.182","36.4","18.2","9.1","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"Islam Wrld:MidEast,500-1500","205","001","","22","3.482","54.5","13.6","9.1","18.2","4.5",".",".",".",".",".",".",".",".",".",".","."
"Westrn Relig&Intellect Hist","208","001","","17","3.147","11.8","35.3","29.4","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Judaism","211","001","","27","3.635","55.6","22.2","11.1","3.7","3.7",".",".","3.7",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227","001","","72","3.587","50.0","19.4","20.8","4.2","1.4",".",".","4.2",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237","001","","9","3.333","11.1","44.4","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Philos of Religion","261","001","","21","3.375","33.3","23.8","23.8","9.5","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"Religion-Hist&Cult:The West","271","001","","55","2.769","5.5","16.4","25.5","27.3","18.2","1.8",".","5.5",".",".",".",".",".",".",".","."
"Religion-Hist&Culture: East","273","001","","77","3.480","33.8","40.3","14.3","7.8","2.6",".",".","1.3",".",".",".",".",".",".",".","."
"Christian Lit:Matthew-Revelatn","333","001","","53","3.010","13.2","28.3","18.9","15.1","13.2",".","1.9","3.8",".",".",".",".","5.7",".",".","."
"Introduction to Taoism","350","001","","27","3.031","22.2","29.6","7.4","22.2","7.4","7.4",".","3.7",".",".",".",".",".",".",".","."
"Islam: Religion and Culture","370","001","","20","3.737","65.0","20.0","5.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Philosophy of Religion","501","001","","17","3.471","41.2","35.3","17.6",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Religion-Ancient Mediterranean","517","001","","18","3.583","50.0","27.8","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Religion-Critical Perspective","600","001","","18","3.639","38.9","50.0","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anthro-Shamanism&Occult Exper","666","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Colloquium for Majors","695","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research for Major","","Course Total","","12","3.875","50.0","16.7",".",".",".",".",".",".",".",".",".",".","25.0",".","8.3","."
"Directed Study","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
