"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","187","2.711","17.1","9.1","21.4","10.7","37.4","2.1","1.1","1.1",".",".",".",".",".",".",".","."
"","100","002","171","2.749","14.6","8.2","29.2","12.3","31.6","2.9",".",".",".",".",".",".","0.6",".",".","0.6"
"General Anthropology","","Course Total","358","2.729","15.9","8.7","25.1","11.5","34.6","2.5","0.6","0.6",".",".",".",".","0.3",".",".","0.3"
"Archaeology & Prehist World","102","001","128","2.829","17.2","15.6","14.8","21.9","23.4","2.3","0.8","2.3",".",".",".",".",".",".","0.8","0.8"
"","104","001","405","3.272","32.3","19.5","30.6","6.7","8.1","1.5","0.2","0.5","0.2",".",".",".","0.2",".",".","."
"","104","002","386","3.293","33.9","15.3","33.9","6.7","6.2","1.3","0.3","2.3",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","","Course Total","791","3.282","33.1","17.4","32.2","6.7","7.2","1.4","0.3","1.4","0.1",".",".",".","0.1",".",".","."
"Principles - Biological Anthro","105","001","168","2.905","18.5","22.6","21.4","13.1","19.6","1.2","3.6",".",".",".",".",".",".",".",".","."
"Principles of Archaeology","112","001","128","3.443","50.8","12.5","18.0","6.3","3.9","3.9",".","3.1",".",".",".",".",".",".",".","1.6"
"","120","001","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120","002","18","3.694","61.1","22.2","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","120","003","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120","004","20","3.431","30.0","40.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".","5.0",".","."
"Fr/Soph Seminar in Anthro","","Course Total","72","3.643","50.0","33.3","9.7","4.2","1.4",".",".",".",".",".",".",".",".","1.4",".","."
"Africa: Introductory Survey","277","001","29","2.660","6.9","10.3","20.7","20.7","24.1","3.4",".","13.8",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","37","2.959","24.3","16.2","27.0","8.1","18.9","2.7","2.7",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","38","3.184","28.9","36.8","5.3","10.5","13.2","5.3",".",".",".",".",".",".",".",".",".","."
"Hominoid Evolution","302","001","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303","001","9","3.333","55.6",".","22.2",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"Topics in Archaeology","310","001","21","3.275","19.0","23.8","42.9","9.5",".",".",".",".",".",".",".",".",".","4.8",".","."
"Indians of North America","314","001","50","2.875","18.0","20.0","16.0","14.0","14.0",".","6.0","12.0",".",".",".",".",".",".",".","."
"Emergence of Human Culture","321","001","59","2.686","18.6","1.7","44.1","6.8","16.9","5.1","6.8",".",".",".",".",".",".",".",".","."
"Peoples of the Andes Today","327","001","23","3.182","34.8","13.0","30.4","4.3","8.7",".","4.3","4.3",".",".",".",".",".",".",".","."
"Topics in Ethnology","330","001","8","3.940","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Political Anthropology","350","001","17","3.754","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Quechua","361","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Quechua","363","001","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Course in Archaeology","370","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376","001","14","3.571","64.3","28.6",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Bones for the Archaeologist","391","001","8","3.563","37.5","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnobotany","474","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","001","13","3.500","53.8","15.4","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","490","002","14","3.536","35.7","35.7","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","003","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","004","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","49","3.643","55.1","24.5","16.3","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Biology of Mind","619","001","20","3.350","45.0",".","50.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"Anthro-Shamanism&Occult Exper","666","001","20","4.000","85.0",".",".",".",".",".",".",".",".",".",".",".","15.0",".",".","."
"","681","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
