"EDU","","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"","138
006","","14","3.455","28.6","21.4","21.4","7.1",".",".",".","21.4",".",".",".",".",".",".",".","."
"Golf I","Course Total","","89","3.550","24.7","16.9","10.1","4.5",".",".",".","40.4","3.4",".",".",".",".",".",".","."
"","140
001","","19","3.433","31.6","26.3","10.5",".","10.5",".",".","15.8","5.3",".",".",".",".",".",".","."
"","140
002","","15","3.714","46.7","40.0","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","","34","3.569","38.2","32.4","8.8",".","5.9",".",".","11.8","2.9",".",".",".",".",".",".","."
"Ice Skating II","145
001","","11","3.700","54.5","27.3",".","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"Fitness Walking","149
001","","9","3.667","66.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","155
001","","20","2.875","15.0","15.0","25.0","15.0",".","5.0","5.0","20.0",".",".",".",".",".",".",".","."
"","155
002","","17","3.588","41.2","35.3","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Badminton I","Course Total","","37","3.242","27.0","24.3","24.3","8.1",".","2.7","2.7","10.8",".",".",".",".",".",".",".","."
"","157
001","","24","3.477","33.3","25.0","29.2","4.2",".",".",".","8.3",".",".",".",".",".",".",".","."
"","002
157","","23","3.773","56.5","34.8","4.3",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","157
003","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Fencing","Course Total","","58","3.673","51.7","25.9","15.5","1.7",".",".",".","5.2",".",".",".",".",".",".",".","."
"","162
001","","23","3.632","47.8","26.1",".",".","8.7",".",".","13.0",".",".",".",".",".","4.3",".","."
"","002
162","","16","3.438","12.5","25.0","6.3","6.3",".",".",".","50.0",".",".",".",".",".",".",".","."
"","003
162","","16","3.417","12.5","12.5","6.3","6.3",".",".",".","62.5",".",".",".",".",".",".",".","."
"Tennis I","Course Total","","55","3.545","27.3","21.8","3.6","3.6","3.6",".",".","38.2",".",".",".",".",".","1.8",".","."
"","163
001","","15","3.885","66.7","20.0",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"","163
002","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","","29","3.926","79.3","13.8",".",".",".",".",".","6.9",".",".",".",".",".",".",".","."
"Basketball I","170
001","","27","3.667","44.4","29.6","14.8",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Soccer I","173
001","","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","175
001","","30","3.850","76.7","16.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","175
002","","34","3.970","91.2","5.9",".",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","","64","3.913","84.4","10.9","3.1",".",".",".",".","1.6",".",".",".",".",".",".",".","."
"Softball","179
001","","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Swimming","201
001","","15","3.900","93.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","211
001","","15","3.767","73.3","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
002","","12","3.583","58.3","16.7","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","27","3.685","66.7","11.1","18.5",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Weight Training II","232
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Golf II","238
001","","9","3.700","33.3","11.1","11.1",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"Power Skating","244
001","","16","3.700","56.3","18.8","18.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","262
001","","17","3.850","47.1","5.9","5.9",".",".",".",".","35.3",".",".",".",".",".","5.9",".","."
"","262
002","","13","3.750","15.4","15.4",".",".",".",".",".","69.2",".",".",".",".",".",".",".","."
"Tennis II","Course Total","","30","3.821","33.3","10.0","3.3",".",".",".",".","50.0",".",".",".",".",".","3.3",".","."
"","275
001","","29","3.846","62.1","27.6",".",".",".",".",".","10.3",".",".",".",".",".",".",".","."
"","275
002","","32","3.839","75.0","12.5","9.4",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Volleyball II","Course Total","","61","3.842","68.9","19.7","4.9",".",".",".",".","6.6",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277
001","","20","3.632","35.0","50.0","10.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Bicycling","295
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","","20","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","","Page 95 of 402"
