"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","179","3.409","31.3","36.3","17.9","8.4","3.9","0.6",".",".",".",".",".",".","1.7",".",".","."
"","301
002","33","3.970","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
003","27","3.907","81.5","18.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
301","24","3.826","70.8","16.7","8.3",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","263","3.569","47.9","28.9","12.9","5.7","2.7","0.4",".","0.4",".",".",".",".","1.1",".",".","."
"","320
001","126","3.260","23.0","31.7","27.8","10.3","5.6",".","0.8",".",".",".",".",".","0.8",".",".","."
"","320
002","84","3.175","25.0","26.2","29.8","3.6","10.7","2.4","1.2","1.2",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","210","3.226","23.8","29.5","28.6","7.6","7.6","1.0","1.0","0.5",".",".",".",".","0.5",".",".","."
"Human Develop-Adolescence","321
001","95","3.363","29.5","36.8","18.9","10.5","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"","506
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
002","15","3.923","80.0",".","6.7",".",".",".",".","6.7",".",".",".",".","6.7",".",".","."
"Contemp Issues in Ed Psych","Course Total","32","3.967","90.6",".","3.1",".",".",".",".","3.1",".",".",".",".","3.1",".",".","."
"","521
001","28","3.667","46.4","42.9","3.6",".","3.6",".",".",".",".",".",".",".",".",".","3.6","."
"","521
002","26","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adolscnt Develp-Educ Contxt","Course Total","54","3.623","38.9","48.1","9.3",".","1.9",".",".",".",".",".",".",".",".",".","1.9","."
"Intro to Prof School Psych","540
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Ed Measurement","570
001","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","7","4.000","71.4",".",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"","699
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
026","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","15","3.969","80.0",".","6.7",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"The Study of Teaching","708
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Research in Ed Psych I","709
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
003","26","3.800","69.2","23.1",".",".","3.8",".",".",".",".",".",".",".",".",".","3.8","."
"","711
005","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
006","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
007","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
008","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
009","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
010","26","3.942","92.3","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","124","3.934","90.3","7.3","0.8",".","0.8",".",".",".",".",".",".",".",".",".","0.8","."
"Intro to Qualitative Research","719
001","7","3.667","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Theory & Issues-Human Dev","725
001","14","3.500","7.1","85.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Socl, Emotionl&Behav Assessmnt","741
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Assessment of Acad Skill Probs","742
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
001","48","3.622","50.0","18.8","22.9","2.1",".",".",".","6.3",".",".",".",".",".",".",".","."
"","760
002","23","3.587","47.8","21.7","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","Course Total","71","3.610","49.3","19.7","25.4","1.4",".",".",".","4.2",".",".",".",".",".",".",".","."
"Intro: Dsgn-Ed Experiments","762
001","29","3.793","65.5","27.6","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
