"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","250","3.074","23.2","20.0","20.4","21.2","14.4","0.4",".","0.4",".",".",".",".",".",".",".","."
"","103
002","248","2.933","16.9","19.0","19.0","25.8","18.5","0.8",".",".",".",".",".",".",".",".",".","."
"","103
003","126","2.927","17.5","20.6","21.4","14.3","23.0",".","1.6","0.8",".",".",".",".","0.8",".",".","."
"General Physics","Course Total","624","2.989","19.6","19.7","20.0","21.6","17.8","0.5","0.3","0.3",".",".",".",".","0.2",".",".","."
"","104
001","179","3.050","24.0","18.4","25.7","10.6","20.1","0.6","0.6",".",".",".",".",".",".",".",".","."
"","002
104","142","2.968","19.0","19.7","26.1","9.2","23.2","2.1",".",".",".",".",".",".","0.7",".",".","."
"General Physics","Course Total","321","3.014","21.8","19.0","25.9","10.0","21.5","1.2","0.3",".",".",".",".",".","0.3",".",".","."
"Ideas of Modern Physics","107
001","49","3.281","34.7","8.2","40.8","6.1","8.2",".",".",".",".",".",".",".","2.0",".",".","."
"","109
001","123","3.111","22.0","23.6","29.3","16.3","4.9",".","3.3",".",".",".",".",".",".",".",".","0.8"
"","109
002","118","3.025","24.6","17.8","23.7","16.1","13.6","3.4","0.8",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","241","3.069","23.2","20.7","26.6","16.2","9.1","1.7","2.1",".",".",".",".",".",".",".",".","0.4"
"Energy","115
001","118","3.205","21.2","24.6","27.1","26.3",".",".",".","0.8",".",".",".",".",".",".",".","."
"General Physics","201
001","172","2.626","8.1","14.5","16.9","19.2","38.4","2.3",".",".",".",".",".",".","0.6",".",".","."
"","202
001","207","2.911","22.2","15.0","20.8","17.4","19.8","4.3","0.5",".",".",".",".",".",".",".",".","."
"","202
002","177","2.912","19.8","14.7","22.6","18.6","22.0","2.3",".",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","384","2.911","21.1","14.8","21.6","18.0","20.8","3.4","0.3",".",".",".",".",".",".",".",".","."
"Mod Physics for Engineers","205
001","25","2.780","24.0","12.0","16.0","16.0","24.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"General Physics","207
001","242","3.102","14.5","32.2","24.4","16.1","11.6","0.4",".",".",".",".",".",".","0.4",".","0.4","."
"General Physics","208
001","155","3.169","20.6","26.5","26.5","18.7","6.5","0.6",".",".",".",".",".",".","0.6",".",".","."
"Intro-Solid State Electronics","235
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","40","3.413","47.5","20.0","12.5","17.5",".",".","2.5",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","247
001","63","3.041","23.8","17.5","19.0","19.0","15.9","1.6",".",".",".",".",".",".",".",".",".","3.2"
"A Modern Intro to Physics","249
001","28","3.143","28.6","21.4","25.0","7.1","14.3","3.6",".",".",".",".",".",".",".",".",".","."
"","299
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
096","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"","307
001","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","10","3.650","70.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","307
005","9","3.611","55.6","33.3",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","51","3.725","64.7","23.5","7.8",".","3.9",".",".",".",".",".",".",".",".",".",".","."
"Mechanics","311
001","35","3.314","34.3","31.4","17.1","8.6","5.7",".","2.9",".",".",".",".",".",".",".",".","."
"Elect Circuits & Electronic","321
001","22","3.045","22.7","27.3","31.8",".","9.1","4.5","4.5",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322
001","38","3.013","18.4","13.2","44.7","10.5","7.9","5.3",".",".",".",".",".",".",".",".",".","."
"Thermal Physics","415
001","15","3.333","33.3","20.0","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","448
001","43","3.341","46.5","2.3","27.9","11.6","4.7","2.3",".","4.7",".",".",".",".",".",".",".","."
"Radioisotopes-Med & Biology","463
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","498
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","498
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"","499
033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","Page 276 of 402",""
