"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"123
Plants, Parasites, & People","001","","90","3.174","18.9","27.8","33.3","8.9","8.9","1.1",".",".",".",".",".",".","1.1",".",".","."
"130
General Botany","001","","156","2.726","17.3","9.6","30.8","11.5","19.2","8.3","2.6","0.6",".",".",".",".",".",".",".","."
"151","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"151","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"151","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","12","2.792","16.7","8.3","41.7",".","25.0","8.3",".",".",".",".",".",".",".",".",".","."
"160
Heredity","001","","14","3.036","42.9",".","28.6","7.1","14.3",".","7.1",".",".",".",".",".",".",".",".","."
"240
Plants and Man","001","","121","3.160","28.9","5.8","47.9","2.5","12.4",".","0.8","1.7",".",".",".",".",".",".",".","."
"260
Introductory Ecology","001","","103","3.005","20.4","20.4","23.3","15.5","16.5","2.9",".",".",".",".",".",".","1.0",".",".","."
"300
Plant Anatomy","001","","31","3.567","38.7","38.7","12.9","6.5",".",".",".","3.2",".",".",".",".",".",".",".","."
"330
Algae","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"339
Plant Biotech:Prin&Technique I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"370
Grassland Ecology","001","","10","3.300","50.0","20.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"400
Plant Systematics","001","","42","3.622","52.4","21.4","19.0","4.8",".",".",".",".",".",".",".",".","2.4",".",".","."
"402
Dendrology","001","","14","2.769",".","14.3","42.9","14.3","21.4",".",".",".",".",".",".",".","7.1",".",".","."
"403
Field Collectns&Identifictn","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"455
The Vegetation of Wisconsin","001","","32","3.547","53.1","12.5","28.1","3.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"460
General Ecology","001","","34","3.294","47.1","5.9","26.5","5.9","11.8","2.9",".",".",".",".",".",".",".",".",".","."
"466
General Genetics","001","","29","2.857","24.1",".","31.0","20.7","13.8","6.9",".","3.4",".",".",".",".",".",".",".","."
"474
Ethnobotany","001","","19","3.417","52.6","5.3","26.3",".","5.3","5.3",".","5.3",".",".",".",".",".",".",".","."
"575","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"575","002","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","12","3.929","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"626
Mineral Nutrition of Plants","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"645
Modeling Pop Genetics&Evolutn","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"670
Adaptive Restoration Lab","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698
Directed Study","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","6","3.893","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
