"L&S","","","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY
970","Dept. Total","3035","2.907","24.5","12.1","29.4","7.3","15.8","5.4","1.8","1.8","",".","0.4","",".","0.4","0.6","0.2","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","268","2.454","9.7","13.8","27.2","9.3","23.9","10.1","4.9",".","",".",".","",".",".","0.4",".",".","0.7"
"Sophomore","","872","2.742","12.5","13.5","36.1","10.3","19.0","6.9","0.9",".","",".",".","",".",".","0.5","0.1","0.1","."
"Junior","","731","2.899","24.5","12.3","31.3","6.8","16.8","4.4","2.9",".","",".","0.4","",".",".","0.5",".",".","."
"Senior","","963","3.132","34.9","12.0","26.1","5.8","12.7","4.6","1.2","0.2","",".","0.8","",".","0.1","0.7","0.2","0.4","0.2"
"Undergraduates","","2834","2.883","22.9","12.7","30.6","7.8","16.8","5.8","1.9","0.1","",".","0.4","",".","0.0","0.6","0.1","0.2","0.1"
"Special","","43","3.255","41.9","9.3","27.9","2.3","7.0","2.3","2.3","2.3","",".",".","",".",".",".","4.7",".","."
"Graduate","","158","3.745","48.7","1.9","8.2","0.6","0.6",".",".","32.3","",".",".","",".","7.0","0.6",".",".","."
"","Dept. Total","3035","2.907","24.5","12.1","29.4","7.3","15.8","5.4","1.8","1.8","",".","0.4","",".","0.4","0.6","0.2","0.2","0.1"
