"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"890","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","9","4.000","11.1",".",".",".",".",".",".","55.6",".",".",".","33.3",".",".",".","."
"900
Seminar","001","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","6","4.000","16.7",".",".",".",".",".",".","33.3","16.7",".",".","33.3",".",".",".","."
"990","020","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"990","025","","6","4.000","33.3",".",".",".",".",".",".","33.3",".",".",".","33.3",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","46","4.000","37.0",".",".",".",".",".",".","30.4","4.3",".",".","28.3",".",".",".","."
"999
Independent Work","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"M S & E
636","Dept. Total","","478","3.371","36.6","20.7","18.8","2.7","1.9","1.7","1.3","12.1","0.4",".",".","3.3",".","0.4",".","."
