"AIR FORCE AEROSPACE STUDI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","",""
"","102
001","","12","3.583","50.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Air Force Today II","Course Total","","13","3.615","53.8","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"The Air Force Way I","201
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","202
001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"The Air Force Way II","Course Total","","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Air Force Leadership&Mgt II","304
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Preparation-Active Duty II","402
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"A F AERO
102","Dept. Total","","46","3.859","71.7","19.6","6.5","2.2",".",".",".",".",".",".",".",".",".",".",".","."
