"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","","84","3.000","11.9","28.6","31.0","16.7","8.3","1.2","2.4",".",".",".",".",".",".",".",".","."
"","154","001","","12","3.318","33.3","16.7","16.7","25.0",".",".",".",".",".",".",".",".",".","8.3",".","."
"","154","002","","11","3.227","18.2","36.4","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Clothing Construction II","","Course Total","","23","3.273","26.1","26.1","17.4","26.1",".",".",".",".",".",".",".",".",".","4.3",".","."
"Design: Fundamentals II","220","001","","19","3.132","15.8","26.3","31.6","21.1","5.3",".",".",".",".",".",".",".",".",".",".","."
"Inter Envir & Hum Behavior","221","001","","70","3.000","18.6","11.4","42.9","17.1","4.3","5.7",".",".",".",".",".",".",".",".",".","."
"Interior Design I","222","001","","19","3.000","10.5","10.5","52.6","21.1","5.3",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","225","001","","16","3.438","37.5","18.8","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","226","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227","001","","16","3.313","18.8","31.3","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Science","251","001","","67","2.821","7.5","16.4","25.4","37.3","11.9","1.5",".",".",".",".",".",".",".",".",".","."
"Textile Science Laboratory","252","001","","20","3.050","15.0","30.0","30.0","20.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Design: Sketching&Rendering","320","001","","15","3.467","33.3","33.3","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","323","001","","11","3.550","27.3","45.5","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Amer Interiors,1620-1950","422","001","","40","2.987","30.0","5.0","30.0","7.5","20.0","5.0",".",".",".",".",".",".","2.5",".",".","."
"Textile Dsgn: Print&Dye II","427","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Textile Dsgn:Structural II","428","001","","8","3.500","50.0","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","501","001","","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","002","","12","3.750","66.7","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","501","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","34","3.645","55.9","32.4","5.9","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"Material Culture Analysis","512","001","","14","3.214","21.4","21.4","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Experimental Textile Design","528","001","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","015","","18","3.707","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","","Course Total","","19","3.698","57.9","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Synthetic Fibers","619","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Interior Design III","622","001","","28","2.875","14.3","17.9","32.1","14.3","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"Apparel Design III","625","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Housing Envrs-Older People","630","001","","12","3.409","33.3","8.3","50.0",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Senior Thesis","691","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","6","3.885","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","203","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","204","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","205","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","206","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","21","3.524","42.9","19.0","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Literature of Design Theory","720","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Environmt,Textiles&Dsgn","920","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 147 of 383",""
