"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"699","016","","27","3.689","55.6","25.9","3.7",".",".","3.7",".",".",".",".",".",".","11.1",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","46","3.294","23.9","28.3","30.4","6.5","4.3","2.2","2.2","2.2",".",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","88","3.630","44.3","25.0","17.0","3.4","2.3","2.3","1.1","1.1",".",".",".",".","3.4",".",".","."
"725
Sociology-Economic Change","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"750
Research Methods-Sociology","001","","30","3.672","53.3","23.3","20.0",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"752
Measurement&Questionnaires","001","","11","3.600","45.5","18.2","27.3",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"755
Methods-Qualitative Resch","002","","26","3.783","50.0","38.5",".",".",".",".",".","11.5",".",".",".",".",".",".",".","."
"913
Seminar-Social Change","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915
Seminar-Sociological Theory","001","","15","3.929","80.0","13.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"923
Smr-Social Stratification","001","","10","3.875","60.0","20.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"929
Class Analysis&Hist Change","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"940
Smr: Sociol-Econ Change","001","","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"941
Grassroot Devlpmnt-3rd Wrld","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"948","001","","7","3.750","42.9","42.9",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"948","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr: Envir & Resource Soc","Course Total","","10","3.667","30.0","60.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"984
Rsch:Smr-Sociol of Gender","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"985
Rsch:Sci,Tech,Ag,Rscs&Envir","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"987
Rsch: Race & Ethnic Studies","001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"988
Deviance/Law/Social Control","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 296 of 383",""
