"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","165","2.682","11.5","15.8","21.2","20.0","21.8","9.7",".",".",".",".",".",".",".",".",".","."
"132","002","","227","2.694","14.1","10.6","20.3","25.1","22.5","7.5",".",".",".",".",".",".",".",".",".","."
"Nutrition Today","Course Total","","392","2.689","13.0","12.8","20.7","23.0","22.2","8.4",".",".",".",".",".",".",".",".",".","."
"289
Honors Independent Study","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"332
Human Nutritional Needs","001","","88","3.341","43.2","9.1","36.4",".","9.1","2.3",".",".",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","27","3.870","92.6","3.7",".",".",".","3.7",".",".",".",".",".",".",".",".",".","."
"399","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"431
Nutrition in the Life Span","001","","66","2.856","13.6","15.2","43.9","1.5","16.7","9.1",".",".",".",".",".",".",".",".",".","."
"434
Nutri-Life Span(Affiliatn)","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"499
Capstone in Nutrition","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","61","3.167","31.1","19.7","21.3","13.1","8.2","4.9",".","1.6",".",".",".",".",".",".",".","."
"520
Applications-Clin Nutrition","001","","31","3.694","64.5","19.4","6.5","9.7",".",".",".",".",".",".",".",".",".",".",".","."
"616
Adv Nutr:Intgratn-Metabolsm","001","","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Special Problems","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","Course Total","","4","***","","","","","","","","","","","","","","","",""
"881
Smr-Human&Clinicl Nutrition","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","23","4.000","17.4",".",".",".",".",".",".","73.9",".",".",".",".",".","8.7",".","."
"991","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
