"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Practcm-Secondry Sch French","246
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practcm-Secondry Sch German","247
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practm:Secondry Sch Spanish","256
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Secondary Sci Ed","290
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Practm-Secondry Sch English","296
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","305
001","","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
305","","26","3.942","92.3","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
305","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Rdg & Other Lang Arts","Course Total","","73","3.945","90.4","8.2","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Lang & Lit-Secondary Curric","Course Total","","40","3.863","75.0","22.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
003","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teachng Art:Pre-Middle Schl","Course Total","","51","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art in Elementary Education","323
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Gen Music-Secndry Schl","334
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Instrumental Music-Sec","336
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Teaching Music","Course Total","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of French","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of German","347
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","354
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
002","","16","3.750","75.0","12.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","354
003","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Music:Presch-Middl Sch","Course Total","","66","3.924","90.9","6.1","1.5",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"","356
001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","356
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of Spanish","Course Total","","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract: Soc Studies-Sec Schl","358
001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Tchg of Hist & Other Soc St","359
001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Math-Sec Schl","361
001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","362
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
003","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Ed:Pre-Middle Schl","Course Total","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac-Early Chldhd Ed-Kinder","363
001","","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 88 of 383"
