"","775
020","2","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","775
021","2","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","775
022","2","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Externship","Course Total","31","4.000","3.2",".",".",".",".",".","",".","96.8","",".",".","",".",".","",".",".",".","."
"SURG SCI
938","Dept. Total","983","3.434","33.6","9.6","14.4","2.8","2.0","0.1","",".","37.1","",".",".","",".","0.1","",".","0.1",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","1","3.000",".",".","100.0",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","2","3.500","50.0",".","50.0",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 1","","17","4.000","41.2",".",".",".",".",".","",".","58.8","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","","144","3.750","41.0","7.6","11.8","2.1",".",".","",".","36.8","",".",".","",".","0.7","",".",".",".","."
"Prof Yr 3","","495","3.159","20.2","16.8","25.1","5.1","4.0",".","",".","28.9","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","325","3.980","50.2",".",".",".",".","0.3","",".","48.9","",".",".","",".",".","",".","0.3",".","0.3"
"Professionals","","981","3.434","33.5","9.6","14.4","2.9","2.0","0.1","",".","37.2","",".",".","",".","0.1","",".","0.1",".","0.1"
"","Dept. Total","983","3.434","33.6","9.6","14.4","2.8","2.0","0.1","",".","37.1","",".",".","",".","0.1","",".","0.1",".","0.1"
