"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"475
Non-Verbal Communication","001","","23","3.362","26.1","39.1","17.4","4.3","8.7",".",".","4.3",".",".",".",".",".",".",".","."
"557
Amer Film Indstry-Age of TV","001","","66","3.053","15.2","13.6","47.0","15.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"560
Communication Theory","001","","20","2.750","5.0","10.0","60.0",".","15.0","10.0",".",".",".",".",".",".",".",".",".","."
"565
Communictn&Interethnc Behav","001","","35","3.000","17.1","20.0","22.9","37.1",".",".","2.9",".",".",".",".",".",".",".",".","."
"610
Topics-Rhetoric&Pub Address","001","","42","2.917","16.7","23.8","19.0","21.4","14.3","2.4","2.4",".",".",".",".",".",".",".",".","."
"612
Topics-Communicatn Studies","001","","38","3.250","26.3","28.9","28.9","10.5","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"613","001","","29","3.362","37.9","20.7","20.7","17.2","3.4",".",".",".",".",".",".",".",".",".",".","."
"613","002","","20","3.889","70.0","20.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"613","003","","20","3.525","30.0","45.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","203","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"613","204","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"613","205","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"613","206","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","Course Total","","74","3.544","43.2","29.7","14.9","8.1","1.4",".",".",".",".",".",".",".","2.7",".",".","."
"614","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","Course Total","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"615
Secnd Fld Exp-Communication","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"616
Mass Media and Youth","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Adv Video Productn&Directn","001","","21","3.286","4.8","47.6","47.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"656
Adv Motion Picture Productn","001","","12","3.375","16.7","41.7","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"658
Writing for Tv & Film","001","","15","3.267","26.7","26.7","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"664
Classical Film Theory","001","","34","3.147","29.4","29.4","11.8","17.6","5.9","2.9","2.9",".",".",".",".",".",".",".",".","."
"682","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"698
Directed Study","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","15","3.930","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 182 of 383",""
