"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"100
Survey of Astronomy","001","","132","2.708","20.5","3.8","32.6","6.1","27.3","8.3","1.5",".",".",".",".",".",".",".",".","."
"103
The Evolving Universe","001","","149","3.048","21.5","14.1","38.9","8.7","10.7","3.4","0.7","1.3",".",".",".",".",".","0.7",".","."
"104
Exploration of Solar System","001","","132","2.848","18.9","14.4","20.5","17.4","25.8","2.3","0.8",".",".",".",".",".",".",".",".","."
"113","001","","19","3.211","26.3","21.1","26.3","21.1","5.3",".",".",".",".",".",".",".",".",".",".","."
"113","002","","20","2.400",".","15.0","15.0","25.0","40.0",".","5.0",".",".",".",".",".",".",".",".","."
"113","003","","22","2.682","9.1","18.2","22.7","9.1","36.4","4.5",".",".",".",".",".",".",".",".",".","."
"113","004","","18","2.833","16.7","5.6","38.9","5.6","33.3",".",".",".",".",".",".",".",".",".",".","."
"Hands on the Universe","Course Total","","79","2.772","12.7","15.2","25.3","15.2","29.1","1.3","1.3",".",".",".",".",".",".",".",".","."
"160
Life in the Universe","001","","175","2.680","14.3","9.1","28.6","8.0","28.6","6.9","1.1","2.9","0.6",".",".",".",".",".",".","."
"200
The Physical Universe","001","","12","2.773","8.3","33.3","25.0","8.3",".","8.3","8.3","8.3",".",".",".",".",".",".",".","."
"320
The Interstellar Medium","001","","6","3.300","33.3","16.7","16.7",".","16.7",".",".","16.7",".",".",".",".",".",".",".","."
"340
Solar System Astrophysics","001","","8","3.063","12.5","12.5","62.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"682","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"691
Senior Thesis","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Study","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"710
Stellar Atmospheres","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"720
Intrstelr Med I-Basic Procs","001","","12","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Seminar in Astrophysics","001","","17","4.000","11.8",".",".",".",".",".",".","88.2",".",".",".",".",".",".",".","."
"920
Smnar-Astrophysical Topics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","16","4.000","18.8",".",".",".",".",".",".","81.3",".",".",".",".",".",".",".","."
