"Ways of Knowing Biology","151
001","","31","",".",".","",".",".","",".",".","",".","",".","",".","","96.8","3.2",".","",".","",".",".","."
"World Hunger & Malnutrition","350
001","","1","***","","","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Land Tenure in Africa","472
001","","3","***","","","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"INTER-AG
494","Dept. Total","","35","3.875","8.6","2.9","",".",".","",".","",".","",".","",".","",".","85.7","2.9","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","14","",".",".","",".",".","",".","",".","",".","",".","",".","92.9","7.1","",".","",".",".",".","."
"Sophomore","","","16","",".",".","",".",".","",".","",".","",".","",".","",".","100.0",".","",".","",".",".",".","."
"Junior","","","2","4.000","50.0",".","",".",".","",".","",".","",".","",".","",".","50.0",".","",".","",".",".",".","."
"Senior","","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","","33","4.000","6.1",".","",".",".","",".","",".","",".","",".","",".","90.9","3.0","",".","",".",".",".","."
"Graduate","","","2","3.750","50.0","50.0","",".",".","",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"","Dept. Total","","35","3.875","8.6","2.9","",".",".","",".","",".","",".","",".","",".","85.7","2.9","",".","",".",".",".","."
