"L&S","","","","","","","","","","","","","","","","","","","","",""
"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","","",""
"PHILOS
736","Dept. Total","1793","3.221","29.8","21.9","25.5","10.2","6.6","1.6","1.0","3.0","0.1",".","",".","",".","0.1","0.3",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","278","2.898","12.9","18.7","33.5","16.5","12.2","3.6","1.4","0.7",".",".","",".","",".",".","0.4",".","."
"Sophomore","","441","3.175","27.2","21.8","30.8","9.8","6.3","2.0","1.8",".",".",".","",".","",".",".","0.2",".","."
"Junior","","435","3.224","26.4","25.5","26.7","11.5","6.7","1.1","0.7","1.1",".",".","",".","",".",".","0.2",".","."
"Senior","","456","3.313","32.7","24.6","22.6","9.2","5.9","0.9","0.7","2.2","0.2",".","",".","",".","0.4","0.7",".","."
"Undergraduates","","1610","3.176","26.1","23.0","27.8","11.2","7.3","1.7","1.1","1.1","0.1",".","",".","",".","0.1","0.4",".","."
"Special","","32","3.682","56.3","18.8","12.5","3.1",".",".",".","9.4",".",".","",".","",".",".",".",".","."
"Graduate","","149","3.896","64.4","10.1","2.7","0.7",".",".",".","22.1",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","1","3.000",".",".","100.0",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","2","3.429","50.0",".","50.0",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","1793","3.221","29.8","21.9","25.5","10.2","6.6","1.6","1.0","3.0","0.1",".","",".","",".","0.1","0.3",".","."
