"MICROBIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","",""
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","","29","3.964","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"726
Reg Gene Express-Prokaryots","001","","19","3.474","36.8","21.1","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"731
Seminar","001","","66","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","023","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Bact Teaching","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"901","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"901","005","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"901","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"901","008","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"901","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"901","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Seminar","Course Total","","59","4.000","98.3",".",".",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"908
Smr:Nitrogen Fixation (Adv)","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"932","001","","8","3.625","62.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"932","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Biotechnol Traing Prgm Smr","Course Total","","13","3.692","69.2",".","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","8","4.000","50.0",".",".",".",".",".",".","25.0",".",".",".","25.0",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","8","4.000","12.5",".",".",".",".",".",".","75.0",".",".",".","12.5",".",".",".","."
"990","014","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 11 of 383"
