"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"Advanced Ensemble-Woodwind","Course Total","","4","***","","","","","","","","","","","","","","","",""
"567","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"567","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ensemble-Brass","Course Total","","4","***","","","","","","","","","","","","","","","",""
"569","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"569","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ensemble-String","Course Total","","5","***","","","","","","","","","","","","","","","",""
"570
Univ Symphony Orchestra","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"571
Chamber Orchestra","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"572
Adv Ensmbl-Classical Guitar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"573
Contemp Chamber Ensemble","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"574","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"574","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"574","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Wind Ensemble","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"576","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"576","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Concert Band","Course Total","","3","***","","","","","","","","","","","","","","","",""
"577
Chamber Singers","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"578
Concert Choir","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"579
Masters Singers","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"59
University Chorus","001","","87","4.000","98.9",".",".",".",".",".",".","1.1",".",".",".",".",".",".",".","."
"60
All-Univ String Orchestra","001","","120","3.958","92.5","3.3","2.5",".",".",".",".",".",".",".",".",".",".","1.7",".","."
"61
Chamber Orchestra","001","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619
Music Resrch Mthds & Matls","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"62
Univ Symphony Orchestra","001","","68","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Form and Analysis","001","","10","3.607","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","14","3.923","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"822
Historical Music Theories 2","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Seminar in Musicology","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 260 of 383",""
