"COUNSELING PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","","",""
"Practicum: Supervision","902
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leg&Ethicl Base-Couns Psych","926
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch-Indiv Intervention","951
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","017
990","","12","4.000","33.3",".",".",".",".",".",".","58.3",".",".",".","8.3",".",".",".","."
"","990
025","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","990
026","","10","4.000","60.0",".",".",".",".",".",".","10.0",".",".",".","30.0",".",".",".","."
"","990
027","","11","4.000","45.5",".",".",".",".",".",".","27.3",".",".",".","27.3",".",".",".","."
"","990
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","57","4.000","57.9",".",".",".",".",".",".","28.1",".",".",".","14.0",".",".",".","."
"","999
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
027","","14","3.844","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","19","3.907","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
