"","999
028","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
063","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
077","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","8","4.000","75.0",".",".",".",".",".",".","25.0",".",".","",".",".",".",".",".","."
"POLI SCI
778","Dept. Total","3237","3.126","23.3","21.7","29.6","12.0","8.2","1.5","1.2","1.4","0.0","0.2","",".","0.6","0.2","0.1","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","413","2.849","15.3","12.6","36.6","14.5","14.8","3.4","2.7",".",".",".","",".",".",".",".","0.2","."
"Sophomore","","886","2.970","16.7","18.4","32.1","16.0","12.4","2.4","1.1","0.2",".","0.2","",".",".","0.2","0.1",".","0.1"
"Junior","","824","3.210","22.0","25.4","34.2","12.4","5.0","0.5","0.5",".",".","0.1","",".",".",".",".",".","."
"Senior","","900","3.247","27.8","27.2","25.3","9.1","5.6","1.1","1.4","1.4",".","0.3","",".",".","0.2","0.2",".","0.2"
"Undergraduates","","3023","3.100","21.2","22.1","31.3","12.8","8.7","1.6","1.3","0.5",".","0.2","",".",".","0.1","0.1","0.0","0.1"
"Special","","20","3.203","30.0","20.0","15.0","15.0","10.0",".",".","10.0",".",".","",".",".",".",".",".","."
"Graduate","","194","3.823","54.6","14.9","4.6",".","0.5",".",".","13.9","0.5",".","",".","9.3","0.5",".","0.5","0.5"
"","Dept. Total","3237","3.126","23.3","21.7","29.6","12.0","8.2","1.5","1.2","1.4","0.0","0.2","",".","0.6","0.2","0.1","0.1","0.1"
