"EDU","","","","","","","","","","","","","","","","","","","","",""
"EDUCATIONAL POLICY STUDIES Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","",""
"ED POL
Dept. Total
310","335","3.680","51.3","30.7","9.3","0.6","1.5","",".","0.3","3.9","",".",".","",".","2.1","0.3",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","19","3.316","26.3","31.6","31.6",".","10.5","",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","101","3.639","55.4","28.7","11.9",".","3.0","",".","1.0",".","",".",".","",".",".",".",".",".","."
"Senior","91","3.693","51.6","33.0","9.9","2.2",".","",".",".","3.3","",".",".","",".",".",".",".",".","."
"Undergraduates","211","3.632","51.2","30.8","12.8","0.9","2.4","",".","0.5","1.4","",".",".","",".",".",".",".",".","."
"Special","20","3.673","55.0","30.0","15.0",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","104","3.802","51.0","30.8","1.0",".",".","",".",".","9.6","",".",".","",".","6.7","1.0",".",".","."
"Dept. Total","335","3.680","51.3","30.7","9.3","0.6","1.5","",".","0.3","3.9","",".",".","",".","2.1","0.3",".",".","."
