"L&S","","","","","","","","","","","","","","","","","","","","",""
"RELIGIOUS STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","","",""
"Prophets of the Bible","231","001","","64","2.980","28.1","20.3","9.4","18.8","14.1","6.3","1.6",".",".",".",".",".","1.6",".",".","."
"Genres-Westrn Relig Writing","236","001","","51","3.353","35.3","25.5","29.4","2.0","5.9",".","2.0",".",".",".",".",".",".",".",".","."
"Intro-Philos of Religion","261","001","","26","3.240","26.9","19.2","34.6","3.8","11.5",".",".","3.8",".",".",".",".",".",".",".","."
"Jewish Philos:Antiquity-17c","435","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-Japn Buddhsm 1333-1965","456","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
