"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","","","","","",""
"","990
025","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
032","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Thesis","Course Total","3","***","","","","","","","","","","","","","","","","","","","",""
"PORTUG
782","Dept. Total","156","3.233","39.7","15.4","18.6","3.8","15.4","1.9","",".","2.6","0.6",".","",".","",".","",".","1.9",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","2.875",".","25.0","50.0",".","25.0",".","",".",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","26","2.804","19.2","11.5","30.8","3.8","26.9","7.7","",".",".",".",".","",".","",".","",".",".",".","."
"Junior","","47","3.134","31.9","19.1","17.0","4.3","23.4",".","",".",".",".",".","",".","",".","",".","4.3",".","."
"Senior","","48","3.446","54.2","14.6","12.5","6.3","8.3","2.1","",".","2.1",".",".","",".","",".","",".",".",".","."
"Undergraduates","","125","3.165","36.8","16.0","19.2","4.8","18.4","2.4","",".","0.8",".",".","",".","",".","",".","1.6",".","."
"Special","","5","3.389","60.0",".","20.0",".","20.0",".","",".",".",".",".","",".","",".","",".",".",".","."
"Graduate","","26","3.712","50.0","15.4","15.4",".",".",".","",".","11.5","3.8",".","",".","",".","",".","3.8",".","."
"","Dept. Total","156","3.233","39.7","15.4","18.6","3.8","15.4","1.9","",".","2.6","0.6",".","",".","",".","",".","1.9",".","."
