"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","102
001","21","3.000","33.3","23.8","9.5","4.8","14.3",".","9.5","4.8",".",".",".",".",".",".",".","."
"","102
002","20","3.450","50.0","35.0",".","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","102
003","19","3.579","42.1","36.8","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
102","24","3.375","29.2","20.8","45.8","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","84","3.349","38.1","28.6","19.0","4.8","4.8",".","3.6","1.2",".",".",".",".",".",".",".","."
"","104
001","19","3.632","47.4","31.6","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","15","3.667","40.0","53.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
003","14","3.357","21.4","42.9","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","104
004","14","3.538","21.4","57.1","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"","104
005","16","3.594","50.0","25.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","006
104","12","3.667","58.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","90","3.579","40.0","38.9","15.6","4.4",".",".",".",".",".",".",".",".",".","1.1",".","."
"","112
001","22","3.150","13.6","36.4","22.7","9.1","4.5","4.5",".","9.1",".",".",".",".",".",".",".","."
"","112
002","20","3.603","55.0","35.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","003
112","22","3.452","27.3","36.4","27.3","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"","112
004","21","3.357","23.8","38.1","28.6","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","112
005","20","3.132","10.0","30.0","40.0","5.0","10.0",".",".","5.0",".",".",".",".",".",".",".","."
"","112
006","22","3.357","22.7","31.8","36.4",".","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"Drawing I","Course Total","127","3.343","25.2","34.6","26.0","4.7","3.9","1.6",".","3.9",".",".",".",".",".",".",".","."
"Current Directions in Art","001
208","130","3.629","56.9","23.8","13.8",".","1.5","1.5","0.8",".",".",".",".",".","1.5",".",".","."
"","212
001","13","3.692","61.5","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","19","3.553","42.1","36.8","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","212
003","16","3.688","62.5","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","212
004","20","3.600","55.0","25.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","212
005","19","3.579","42.1","36.8","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","212
006","15","3.267","46.7","26.7","6.7",".","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"Drawing II","Course Total","102","3.564","51.0","28.4","10.8","5.9","2.9",".","1.0",".",".",".",".",".",".",".",".","."
"","214
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
002","16","3.367","25.0","31.3","31.3",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","29","3.661","58.6","17.2","17.2",".","3.4",".",".","3.4",".",".",".",".",".",".",".","."
"","001
222","22","3.333","27.3","27.3","22.7",".",".",".","4.5",".",".",".",".",".","4.5","13.6",".","."
"","002
222","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
003","19","3.706","52.6","31.6",".",".","5.3",".",".","10.5",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","60","3.648","53.3","23.3","10.0",".","1.7",".","1.7","3.3",".",".",".",".","1.7","5.0",".","."
"","224
001","20","3.325","20.0","35.0","40.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","224
002","17","3.813","76.5",".","17.6",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","003
224","19","3.889","84.2",".","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","56","3.657","58.9","12.5","23.2",".","1.8",".",".","1.8",".",".",".",".","1.8",".",".","."
"Textile Design: Off-Loom","226
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","232
001","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","232
002","16","3.367","43.8","18.8","25.0",".",".",".","6.3","6.3",".",".",".",".",".",".",".","."
"","232
003","13","3.557","53.8","7.7","15.4","15.4",".",".",".","7.7",".",".",".",".",".",".",".","."
"Life Drawing I","Course Total","47","3.638","61.7","14.9","12.8","4.3",".",".","2.1","4.3",".",".",".",".",".",".",".","."
"Watercolor I","242
001","7","3.286","28.6","28.6","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
