"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"PHM SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","294","3.209","23.1","19.4","36.7","10.5","9.2","1.0","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","10","2.684","20.0","20.0","10.0","10.0","40.0",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","82","3.285","31.7","19.5","34.1","4.9","9.8",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","387","3.207","25.1","19.4","35.4","9.3","10.1","0.8","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","83","3.982","81.9","1.2","1.2",".",".",".","",".","8.4","",".",".","",".","7.2","",".",".",".","."
"Prof Yr 1","215","2.924","14.9","18.6","19.5","29.3","17.7",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","215","2.924","14.9","18.6","19.5","29.3","17.7",".","",".",".","",".",".","",".",".","",".",".",".","."
