"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","","149","3.141","12.1","38.3","31.5","8.1","2.7","3.4","1.3","2.7",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","","30","3.767","63.3","26.7","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera","105
001","","77","3.431","50.6","9.1","23.4","1.3","5.2","2.6","1.3","6.5",".",".",".",".",".",".",".","."
"Intro to Music Technology","110
001","","12","",".",".",".",".",".",".",".","8.3",".","83.3","8.3",".",".",".",".","."
"","111
001","","20","3.350","60.0","10.0","15.0",".","5.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","111
002","","20","4.000","95.0",".",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Elements of Music","Course Total","","40","3.667","77.5","5.0","7.5",".","2.5","2.5","2.5","2.5",".",".",".",".",".",".",".","."
"Music in Performance","114
001","","591","3.899","86.0","5.2","2.0","0.8","1.0","0.3","0.2","4.2",".",".",".",".",".","0.2",".","."
"","122
001","","26","3.019","3.8","26.9","42.3","23.1","3.8",".",".",".",".",".",".",".",".",".",".","."
"","122
002","","39","3.141","20.5","30.8","20.5","17.9","7.7","2.6",".",".",".",".",".",".",".",".",".","."
"Musica Practica 2","Course Total","","65","3.092","13.8","29.2","29.2","20.0","6.2","1.5",".",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","151
001","","34","3.803","82.4","8.8","2.9",".",".",".","2.9","2.9",".",".",".",".",".",".",".","."
"","172
101","","12","3.292","16.7","33.3","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
172","","12","2.875","25.0","25.0","16.7","16.7",".","8.3","8.3",".",".",".",".",".",".",".",".","."
"","172
103","","14","3.179","7.1","42.9","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","172
104","","10","3.450","40.0","40.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","172
105","","17","3.500","47.1","23.5","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","","65","3.269","27.7","32.3","20.0","15.4","1.5","1.5","1.5",".",".",".",".",".",".",".",".","."
"The Legendary Performers","206
001","","303","3.657","55.4","25.1","10.9","5.0","1.3",".",".","2.3",".",".",".",".",".",".",".","."
"Survey-Hist Western Music","212
001","","51","3.490","54.9","13.7","21.6","2.0","5.9",".","2.0",".",".",".",".",".",".",".",".","."
"","222
001","","14","3.107","7.1","57.1","21.4","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"","222
002","","21","3.500","47.6","23.8","14.3","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 4","Course Total","","35","3.343","31.4","37.1","17.1","8.6","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"Vocal Techniques","001
241","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Am Folk Instrmnt Perf Prac","248
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","254
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
254","","13","3.731","69.2","7.7","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","","16","3.781","75.0","6.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","001
257","","11","3.957","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","","28","3.964","96.4",".","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Black Music Ensemble","266
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 257 of 383",""
