"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","17","2.385",".","17.6","23.5","23.5","17.6","11.8","5.9",".",".",".","",".",".",".",".",".","."
"Junior","","42","2.819","9.5","26.2","26.2","19.0","14.3","4.8",".",".",".",".","",".",".",".",".",".","."
"Senior","","89","3.054","23.6","24.7","22.5","14.6","10.1","1.1","2.2",".",".",".","",".",".","1.1",".",".","."
"Undergraduates","","149","2.894","16.8","24.8","23.5","16.8","12.1","3.4","2.0",".",".",".","",".",".","0.7",".",".","."
"Special","","3","2.938",".","66.7",".",".","33.3",".",".",".",".",".","",".",".",".",".",".","."
"Graduate","","88","3.845","42.0","11.4","3.4",".",".",".",".","39.8","1.1",".","",".","2.3",".",".",".","."
"","Dept. Total","240","3.125","25.8","20.4","15.8","10.4","7.9","2.1","1.3","14.6","0.4",".","",".","0.8","0.4",".",".","."
