"","999
038","1","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"","999
042","1","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"","999
045","2","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"","999
062","2","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"Advanced Independent Study","Course Total","11","3.933","81.8",".","9.1",".",".","",".",".",".","",".",".",".","",".","9.1",".",".","."
"NURSING
692","Dept. Total","1241","3.649","52.9","24.7","10.0","4.7","1.0","",".","0.1","1.6","",".","4.4","0.1","",".","0.4",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","24","3.436","33.3","29.2","20.8","4.2","4.2","",".",".",".","",".",".",".","",".","8.3",".",".","."
"Sophomore","","59","3.476","30.5","44.1","18.6","5.1","1.7","",".",".",".","",".",".",".","",".",".",".",".","."
"Junior","","184","3.575","41.8","26.1","13.0","4.9",".","",".","0.5",".","",".","13.0","0.5","",".",".",".",".","."
"Senior","","609","3.600","49.8","24.6","11.7","7.1","1.6","",".",".","0.2","",".","4.9",".","",".","0.2",".",".","."
"Undergraduates","","876","3.585","46.3","26.4","12.7","6.4","1.4","",".","0.1","0.1","",".","6.2","0.1","",".","0.3",".",".","."
"Special","","19","3.462","26.3","10.5","15.8","5.3",".","",".",".","26.3","",".",".",".","",".","5.3",".","10.5","."
"Graduate","","346","3.843","70.8","21.1","2.9","0.3",".","",".",".","4.0","",".",".",".","",".","0.3",".","0.6","."
"","Dept. Total","1241","3.649","52.9","24.7","10.0","4.7","1.0","",".","0.1","1.6","",".","4.4","0.1","",".","0.4",".","0.3","."
