"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"","333","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","333","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Eng 2nd Lang: Lang Learning","","Course Total","","6","3.684","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eng 2nd Lang: Theory & Prac","334","001","","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL: Techniques & Materials","335","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Anglo-Saxons","360","001","","44","3.000","13.6","31.8","18.2","13.6","22.7",".",".",".",".",".",".",".",".",".",".","."
"Research Methods in English","382","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Sixteenth Century","400","001","","33","3.030","27.3","15.2","18.2","15.2","24.2",".",".",".",".",".",".",".",".",".",".","."
"","418","001","","36","3.136","22.2","27.8","19.4","8.3","13.9","2.8",".","2.8",".",".",".",".",".","2.8",".","."
"","418","002","","34","2.879","11.8","17.6","32.4","23.5","5.9","2.9","2.9","2.9",".",".",".",".",".",".",".","."
"Shakespeare","","Course Total","","70","3.010","17.1","22.9","25.7","15.7","10.0","2.9","1.4","2.9",".",".",".",".",".","1.4",".","."
"Eng Drama-Shakespeares Time","419","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"English Novel: 18th Cent","459","001","","50","3.050","20.0","18.0","30.0","20.0","10.0","2.0",".",".",".",".",".",".",".",".",".","."
"English Novel: 19th Cent","460","001","","31","3.161","16.1","9.7","64.5","9.7",".",".",".",".",".",".",".",".",".",".",".","."
"Victorian Poetry","473","001","","27","3.315","25.9","37.0","14.8","18.5","3.7",".",".",".",".",".",".",".",".",".",".","."
"Honors Seminar","482","001","","18","3.500","50.0","33.3","11.1",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Figures of Contemp Eng Lit","500","001","","38","3.395","23.7","36.8","34.2","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Select Major Modern Poets I","509","007","","28","3.111","25.0","25.0","25.0","10.7","3.6","3.6","3.6","3.6",".",".",".",".",".",".",".","."
"Recent British/Amer Fiction","511","008","","32","3.438","43.8","12.5","34.4","6.3","3.1",".",".",".",".",".",".",".",".",".",".","."
"","516","008","","25","3.000","12.0","24.0","24.0","32.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","516","009","","39","3.276","25.6","20.5","41.0","7.7",".","2.6",".",".",".",".",".",".",".","2.6",".","."
"Themes-20 C Brit&Amer Lit","","Course Total","","64","3.167","20.3","21.9","34.4","17.2","3.1","1.6",".",".",".",".",".",".",".","1.6",".","."
"Studies in Narrative Lit","563","001","","68","3.119","16.2","25.0","35.3","16.2","4.4",".","1.5","1.5",".",".",".",".",".",".",".","."
"","609","001","","32","3.402","37.5","25.0","28.1","6.3",".","3.1",".",".",".",".",".",".",".",".",".","."
"","609","002","","43","3.333","18.6","32.6","41.9","4.7",".",".",".",".",".",".",".",".",".","2.3",".","."
"Major American Novelists","","Course Total","","75","3.363","26.7","29.3","36.0","5.3",".","1.3",".",".",".",".",".",".",".","1.3",".","."
"Voices of American Humor","612","001","","61","3.465","21.3","44.3","27.9",".",".",".",".","4.9",".",".",".",".",".",".",".","1.6"
"Major American Poets","613","001","","29","3.121","24.1","13.8","44.8","10.3","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"Lit of the Amer Renaissance","618","001","","36","3.264","22.2","25.0","41.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Topics-Multicultrl Amer Lit","662","001","","44","3.261","25.0","25.0","43.2",".","4.5",".","2.3",".",".",".",".",".",".",".",".","."
"","682","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","692","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","695","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","695","002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","695","003","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","695","004","","11","3.409","45.5","45.5",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Directed Creative Writing","","Course Total","","49","3.827","81.6","14.3","2.0",".",".",".","2.0",".",".",".",".",".",".",".",".","."
