"BIOLOGICAL SYSTEMS ENGINE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Educ Program","1","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Livestock Housing&Waste Mgt","210","001","","20","2.650","5.0","10.0","30.0","30.0","20.0","5.0",".",".",".",".",".",".",".",".",".","."
"Irrigation Sys-Design & Use","216","001","","8","3.375","12.5","75.0",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Runoff&Sedimnt Polltn Cntrl","217","001","","10","2.900","30.0","20.0","20.0",".","20.0",".","10.0",".",".",".",".",".",".",".",".","."
"Drainage Systems","218","001","","11","3.136","36.4","27.3","18.2",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Spark Ignitn&Diesel Engines","243","001","","16","2.938","12.5","31.3","18.8","31.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"Tractors","245","001","","8","3.571","37.5","25.0","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Engr Principles-Biol Systms","249","001","","21","2.548","9.5","28.6","19.0","4.8","19.0","9.5","9.5",".",".",".",".",".",".",".",".","."
"Wood as a Building Material","313","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tractor and Power Equipment","362","001","","15","3.100","26.7","20.0","33.3",".","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"Measrmt&Instrumntn-Biol Sys","365","001","","13","1.692",".",".","23.1","15.4","15.4","30.8","15.4",".",".",".",".",".",".",".",".","."
"","375","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Sedmnt & Bio-Nutr Engr&Mgmt","472","001","","7","2.714","14.3","14.3","42.9","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"Biol & Ag Engr Design Lab","502","001","","14","2.929","28.6","7.1","21.4","35.7",".",".","7.1",".",".",".",".",".",".",".",".","."
"Food Engineering Operations","542","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Watershed Engineering","571","001","","18","2.917","27.8","16.7","33.3",".","5.6","11.1","5.6",".",".",".",".",".",".",".",".","."
"Topics-Natural Resrces Engr","671","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","15","4.000","60.0",".",".",".",".",".",".","33.3",".",".",".","6.7",".",".",".","."
"Special Problems","999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
