"FOREST AND WILDLIFE ECOLO","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"Introduction to Forestry","100","001","146","2.734","19.9","11.0","21.9","11.0","24.7","7.5","2.1","0.7",".",".",".",".","0.7","0.7",".","."
"Envir, Nat Rsrce & Communty","248","001","10","3.375","50.0",".","10.0",".","20.0",".",".","10.0",".",".",".",".",".","10.0",".","."
"Independent Study","299","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301","001","14","3.107","14.3","42.9","7.1","21.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"Elec-op&Micro Remote Sensng","302","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensng Vis Image&GIS","304","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Forest Operations","305","001","18","3.000","27.8",".","44.4",".","27.8",".",".",".",".",".",".",".",".",".",".","."
"Wood Manufacturng Processes","310","001","12","3.292","25.0","25.0","41.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Wood Identification","312","001","19","3.395","47.4","15.8","21.1",".","15.8",".",".",".",".",".",".",".",".",".",".","."
"Wood as a Building Material","313","001","12","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsrce-Oriented Recreatn Mgt","330","001","16","3.469","37.5","31.3","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","402","001","7","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Dendrology","","Course Total","12","3.083","8.3","33.3","50.0",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"Geom Anal-Vert Aerial Photo","403","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles of Silviculture","410","001","23","3.101","13.0","17.4","47.8","13.0","4.3",".",".",".",".",".",".",".",".",".","4.3","."
"Agroforestry","430","001","14","3.107","28.6","14.3","14.3","35.7","7.1",".",".",".",".",".",".",".",".",".",".","."
"General Ecology","460","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Sys Concepts","461","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Renewable Resources Policy","515","001","18","3.389","22.2","38.9","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","572","001","15","3.433","26.7","33.3","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Paper and Nonwovens","616","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Biobased Composites","617","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Synthetic Fibers","619","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Decisn Meth-Nat Resrc Mangr","652","001","20","3.305","20.0","45.0","20.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Natl Forest Mgmt Practicum","657","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Landscape Ecology","665","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","790","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Special Topics","875","001","7","3.500",".","71.4",".",".",".",".",".",".",".",".",".",".",".",".","28.6","."
"Colloq-Forestry&Forest Prod","901","001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
