"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"300","001","","34","3.662","38.2","55.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","32","3.516","34.4","34.4","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","003","","30","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","004","","28","3.911","82.1","17.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","005","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","158","3.788","66.5","24.7","8.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"340
Comparative Education","001","","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"399","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"412
History-American Education","001","","35","3.243","25.7","42.9","14.3",".","14.3",".","2.9",".",".",".",".",".",".",".",".","."
"460
Cultural Pluralsm&Ed Policy","001","","24","3.413","16.7","50.0","25.0","4.2",".",".",".","4.2",".",".",".",".",".",".",".","."
"540
Modern Philosophies of Ed","001","","16","3.563","31.3","50.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Educ&Sex Role Socialization","001","","17","3.563","35.3","41.2","11.8","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"600
Problems in Educ Pol","001","","8","3.938","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"720
Prosem-Soc Sci&Ed Pol Stdy","001","","7","3.583","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"755
Methods-Qualitative Resch","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"860
Theory & Meth in Compar Ed","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"906
Prosem-History of Education","001","","13","3.681","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"970
Smr-Anthropology&Education","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","27","3.887","33.3","11.1",".",".",".",".",".","33.3",".",".",".","22.2",".",".",".","."
"999","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".",".","."
