"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","233","2.507","10.7","11.2","17.2","11.6","34.8","9.0","1.7","3.0",".",".",".",".",".","0.4",".","0.4"
"","102
001","14","3.667","28.6","28.6","7.1",".",".",".",".","28.6",".",".",".",".",".","7.1",".","."
"","102
002","18","3.727","44.4","5.6","5.6","5.6",".",".",".","38.9",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","32","3.700","37.5","15.6","6.3","3.1",".",".",".","34.4",".",".",".",".",".","3.1",".","."
"","111
001","21","3.842","66.7","19.0","4.8",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"","002
111","21","3.571","33.3","14.3","14.3","4.8",".",".",".","23.8","4.8",".",".",".",".","4.8",".","."
"","111
003","23","3.550","39.1","21.7","21.7","4.3",".",".",".","13.0",".",".",".",".",".",".",".","."
"Self-defense&Assault Prevnt","Course Total","65","3.660","46.2","18.5","13.8","3.1",".",".",".","15.4","1.5",".",".",".",".","1.5",".","."
"Adapted Fitness&Pers Traing","125
001","46","4.000","17.4",".",".",".",".",".",".","73.9",".",".",".",".",".","2.2","6.5","."
"","127
001","24","3.000",".","12.5","33.3","4.2","4.2",".",".","45.8",".",".",".",".",".",".",".","."
"","127
002","21","3.038",".","14.3","42.9",".","4.8",".",".","38.1",".",".",".",".",".",".",".","."
"","127
003","22","3.706","45.5","22.7","4.5","4.5",".",".",".","22.7",".",".",".",".",".",".",".","."
"","004
127","24","3.083","4.2","12.5","25.0","4.2","4.2",".",".","50.0",".",".",".",".",".",".",".","."
"","005
127","23","3.139","4.3","30.4","26.1","17.4",".",".",".","21.7",".",".",".",".",".",".",".","."
"Bowling I","Course Total","114","3.219","10.5","18.4","26.3","6.1","2.6",".",".","36.0",".",".",".",".",".",".",".","."
"","129
001","22","3.958","50.0","4.5",".",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"","002
129","33","3.969","93.9",".","3.0",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","55","3.966","76.4","1.8","1.8",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","130
001","25","3.600","20.0","8.0","12.0",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"","131
001","16","3.438","6.3","37.5",".","6.3",".",".",".","50.0",".",".",".",".",".",".",".","."
"","002
131","16","2.857","6.3","12.5","18.8",".",".",".","6.3","50.0",".",".",".",".",".","6.3",".","."
"","131
003","20","3.300","15.0","10.0","20.0",".","5.0",".",".","50.0",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","52","3.220","9.6","19.2","13.5","1.9","1.9",".","1.9","50.0",".",".",".",".",".","1.9",".","."
"","132
001","25","3.500","28.0","24.0","8.0",".",".","4.0",".","36.0",".",".",".",".",".",".",".","."
"","132
002","31","3.706","29.0","19.4","6.5",".",".",".",".","45.2",".",".",".",".",".",".",".","."
"","132
003","22","3.200","9.1","18.2","31.8","9.1",".",".",".","27.3",".",".",".",".",".","4.5",".","."
"","004
132","21","3.647","33.3","38.1","9.5",".",".",".",".","19.0",".",".",".",".",".",".",".","."
"","132
005","24","3.395","20.8","29.2","25.0",".","4.2",".",".","20.8",".",".",".",".",".",".",".","."
"","132
006","23","3.350","21.7","13.0","4.3",".",".",".","4.3","56.5",".",".",".",".",".",".",".","."
"","007
132","22","3.688","18.2","13.6","4.5",".",".",".",".","59.1","4.5",".",".",".",".",".",".","."
"","132
008","21","3.545","23.8","19.0","4.8",".","4.8",".",".","47.6",".",".",".",".",".",".",".","."
"","132
009","20","3.250","25.0","20.0","5.0",".","5.0",".","5.0","40.0",".",".",".",".",".",".",".","."
"","010
132","19","3.667","26.3","31.6","5.3",".",".",".",".","36.8",".",".",".",".",".",".",".","."
"","132
011","23","3.808","43.5","8.7",".","4.3",".",".",".","39.1","4.3",".",".",".",".",".",".","."
"Weight Training","Course Total","251","3.520","25.5","21.1","9.6","1.2","1.2","0.4","0.8","39.0","0.8",".",".",".",".","0.4",".","."
"","133
001","21","3.579","23.8","57.1","9.5",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"","002
133","21","3.235","14.3","23.8","28.6","14.3",".",".",".","19.0",".",".",".",".",".",".",".","."
"","133
003","25","3.368","28.0","28.0","12.0","4.0",".",".","4.0","24.0",".",".",".",".",".",".",".","."
"","004
133","21","2.656","14.3","23.8","4.8","19.0",".",".","14.3","23.8",".",".",".",".",".",".",".","."
"","133
005","24","3.531","16.7","37.5","12.5",".",".",".",".","29.2",".",".",".",".",".","4.2",".","."
"","133
006","20","3.423","15.0","35.0","5.0","10.0",".",".",".","30.0",".",".",".",".",".","5.0",".","."
"","133
007","22","3.342","13.6","36.4","31.8","4.5",".",".",".","13.6",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","154","3.311","18.2","34.4","14.9","7.1",".",".","2.6","21.4",".",".",".",".",".","1.3",".","."
"","134
001","20","3.472","25.0","45.0","15.0",".","5.0",".",".","5.0",".",".",".",".",".","5.0",".","."
