"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"ANTHRO","","","","","","","","","","","","","","","","","","","","",""
"","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Freshmen","","494","2.873","11.3","17.0","36.2","17.8","14.0","1.6","2.0",".","",".",".","",".",".",".",".",".","."
"Sophomore","","462","3.140","22.9","19.3","37.9","8.9","8.0","2.4","0.4","0.2","",".",".","",".",".",".",".",".","."
"Junior","","319","3.150","32.0","14.7","29.5","8.2","11.3",".","2.8","1.3","",".",".","",".",".",".","0.3",".","."
"Senior","","357","3.274","37.8","16.8","21.0","10.1","9.0","2.2",".","2.5","",".","0.3","",".",".","0.3",".",".","."
"Undergraduates","","1632","3.089","24.4","17.2","32.0","11.7","10.7","1.7","1.3","0.9","",".","0.1","",".",".","0.1","0.1",".","."
"Special","","21","3.688","47.6","4.8","4.8","9.5",".",".",".","23.8","",".",".","",".",".","4.8",".","4.8","."
"Graduate","","165","3.885","60.0","10.9","1.2","1.2",".",".",".","20.0","",".",".","",".","6.1",".",".",".","0.6"
"","Dept. Total","1819","3.149","28.0","16.4","28.9","10.7","9.6","1.5","1.2","2.9","",".","0.1","",".","0.5","0.1","0.1","0.1","0.1"
