"ANATOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","",""
"328
Human Anatomy","001","","218","3.191","35.3","12.8","26.1","5.5","12.4","2.8","0.9","3.2","0.5",".",".",".",".",".","0.5","."
"329
Human Anatomy-Kinesiology","001","","97","3.693","75.3","3.1","10.3","6.2","3.1","1.0",".",".",".",".",".",".",".","1.0",".","."
"575
Biological Processes-Aging","001","","7","3.214","28.6","14.3","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","16","3.515","62.5",".","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","20","3.600","70.0",".","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"700
Cytoskeletal Dynamics","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"722
Clinicl Anatomy & Radiology","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Microscopic Anatomy","001","","9","3.929","66.7","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".","11.1","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","14","4.000","64.3",".",".",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"999","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
