"MED","","","","","","","","","","","","","","","","","","",""
"CLINICAL LABORATORY SCIEN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","",""
"Prin of Clin Lab Instr I","404
001","27","3.037","14.8","22.2","40.7","7.4","11.1","3.7",".",".",".",".",".",".",".",".",".","."
"Hematology-The White Cell","513
001","20","3.150","10.0","30.0","45.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Hemostasis and Coagulation","514
001","20","3.200","15.0","25.0","50.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Select,Eval,&Cntrl Lab Meth","520
001","20","3.325","40.0",".","50.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Chem-Specl Meth&Instrmntn","522
001","20","2.900","5.0","15.0","50.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"Chemistry-Toxicology","523
001","20","3.400","15.0","50.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chemistry-Endocrine Methods","524
001","22","3.636","40.9","45.5","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microbio-Mycolgy/Parasitlgy","532
001","20","3.350","35.0","20.0","30.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Clin Immunol & Applied Tech","560
001","20","3.375","20.0","45.0","30.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Clinical Lab Practice","572
001","20","3.909","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CLNLABSC
628","Dept. Total","209","3.256","27.3","27.3","34.4","5.3","5.3","0.5",".",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","",""
"Junior","","12","2.792","8.3","25.0","25.0","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"Senior","","195","3.294","27.7","27.7","35.4","4.6","4.6",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","207","3.253","26.6","27.5","34.8","5.3","5.3","0.5",".",".",".",".",".",".",".",".",".","."
"Graduate","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","209","3.256","27.3","27.3","34.4","5.3","5.3","0.5",".",".",".",".",".",".",".",".",".","."
