"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Central Europe 1648-1871","409","001","34","3.274","17.6","38.2","23.5","5.9","2.9","2.9",".","2.9",".",".",".",".","2.9",".","2.9","."
"History-American Education","412","001","46","3.098","26.1","21.7","26.1","10.9","10.9","2.2","2.2",".",".",".",".",".",".",".",".","."
"History of Russia","418","001","35","2.764","11.4","20.0","34.3","11.4","11.4","5.7","5.7",".",".",".",".",".",".",".",".","."
"History of Soviet Russia","419","001","64","3.300","18.8","37.5","31.3","6.3",".",".","1.6","4.7",".",".",".",".",".",".",".","."
"Hist Poland & Baltic Area","425","001","29","3.358","24.1","31.0","37.9","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"History of Scand to 1815","431","001","18","3.500","38.9","16.7","38.9",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Amer Foreign Rel-1901 on","434","001","119","3.270","23.5","28.6","29.4","10.9","5.0","0.8",".","0.8",".",".",".",".",".","0.8",".","."
"Pol & State Medieval Islam","435","001","49","3.178","22.4","28.6","32.7","10.2",".",".","4.1","2.0",".",".",".",".",".",".",".","."
"Buddhism&Soc-SE Asian Hist","438","001","53","3.020","9.4","22.6","35.8","15.1","11.3",".",".","5.7",".",".",".",".",".",".",".","."
"Modern India, 1860-1990","450","001","44","3.879","86.4",".","11.4",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"Hist SE Asia Since 1800","458","001","15","3.500","53.3","13.3","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","129","3.271","27.1","20.9","25.6","11.6","5.4","0.8",".","7.8",".",".",".",".",".","0.8",".","."
"American Economy Since 1865","466","001","40","2.959","17.5","25.0","20.0","25.0","7.5","2.5","2.5",".",".",".",".",".",".",".",".","."
"Eur Soc Hist 1914-Present","475","001","52","3.257","23.1","28.8","28.8","5.8","5.8","1.9",".","3.8",".",".",".",".",".","1.9",".","."
"","500","001","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500","002","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500","003","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading Seminar in History","","Course Total","32","3.719","53.1","37.5","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health, Disease&Healing II","508","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Balkans & Mid E: 1700-1918","540","001","13","3.600","53.8","23.1","7.7",".","7.7",".",".",".",".",".",".",".",".",".","7.7","."
"Hist of Mass Communication","560","001","21","2.452","14.3",".","38.1","4.8","28.6","4.8","9.5",".",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562","001","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Scand&Intl Relatns","578","001","11","3.824","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","001","18","3.528","44.4","38.9","11.1",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","600","002","16","3.594","50.0","31.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","600","003","13","3.455","23.1","30.8","30.8",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"","600","005","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","006","16","3.633","43.8","31.3","18.8",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","600","007","15","3.000","6.7","33.3","13.3","33.3","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"","600","009","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","010","19","3.263","15.8","42.1","21.1","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"","600","011","17","2.607",".",".","23.5","52.9","5.9",".",".","11.8",".",".",".",".",".","5.9",".","."
"","600","012","13","2.962","7.7","23.1","30.8","30.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","","Course Total","153","3.394","35.9","25.5","16.3","14.4","2.6","0.7",".","2.0",".",".",".",".","2.0","0.7",".","."
"Afro-Am Hist Since 1900","636","001","15","3.233","26.7","20.0","40.0",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Honors Thesis Colloquium","680","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 224 of 383",""
