"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","",""
"","100
001","14","3.571","50.0","21.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","16","3.188","18.8","31.3","18.8","31.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","17","3.706","58.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","13","3.538","15.4","76.9","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","79","3.525","38.0","36.7","17.7","7.6",".",".",".",".",".",".",".",".",".",".",".","."
"","001
111","18","3.083","33.3","16.7","16.7","11.1","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"","002
111","19","3.605","63.2","15.8","10.5",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","Course Total","37","3.351","48.6","16.2","13.5","5.4","13.5","2.7",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Newswrtg","130
001","11","3.273","18.2","36.4","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Reporting","204
001","9","3.500","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","001
212","17","3.529","35.3","47.1","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","212
002","19","3.605","42.1","42.1","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","15","3.400","20.0","46.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","212
004","19","3.263","47.4","21.1","21.1",".",".",".","10.5",".",".",".",".",".",".",".",".","."
"","212
005","21","3.524","28.6","57.1","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","212
006","16","3.063",".","18.8","75.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientif/Business Com","Course Total","107","3.407","29.9","39.3","24.3","2.8","1.9",".","1.9",".",".",".",".",".",".",".",".","."
"Informational Photography","260
001","14","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
025","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
029","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
031","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
201","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","14","3.800","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Features","330
001","8","3.125",".","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","13","3.538","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Retrieval-Ag&Life Sci","367
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
001","21","3.738","61.9","33.3",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","375
002","8","3.538","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","33","3.629","54.5","21.2","18.2",".","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"Mass Media and the Family","376
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","4","***","","","","","","","","","","","","","","","",""
"Agricultural Advertising","431
001","22","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Publications Editing","505
001","14","3.643","57.1","28.6","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515
001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","530
001","13","3.346","15.4","46.2","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","616
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
