"Grad Studies-Medical Hist","901
001","7","3.833","28.6","14.3",".",".",".",".","",".","57.1",".","",".",".","",".",".",".",".","."
"","999
002","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
007","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Advanced Independent Study","Course Total","2","***","","","","","","","","","","","","","","","","","","",""
"MED HIST
452","Dept. Total","134","3.394","28.4","18.7","16.4","6.7","1.5","",".","0.7","23.9","",".",".","",".","1.5","1.5",".",".","0.7"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","2.625",".",".","50.0","25.0","25.0","",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","11","3.500","36.4","36.4","18.2","9.1",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","","20","3.043","25.0","15.0","25.0","20.0","5.0","",".","5.0",".","",".",".","",".",".","5.0",".",".","."
"Senior","","43","3.517","37.2","30.2","23.3","4.7",".","",".",".","4.7","",".",".","",".",".",".",".",".","."
"Undergraduates","","78","3.344","32.1","25.6","24.4","10.3","2.6","",".","1.3","2.6","",".",".","",".",".","1.3",".",".","."
"Special","","5","3.786","40.0","20.0",".",".",".","",".",".","40.0","",".",".","",".",".",".",".",".","."
"Graduate","","22","3.564","40.9","13.6","13.6","4.5",".","",".",".","18.2","",".",".","",".","4.5","4.5",".",".","."
"Prof Yr 1","","23","",".",".",".",".",".","",".",".","95.7","",".",".","",".",".",".",".",".","4.3"
"Prof Yr 2","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","5","3.833","20.0","20.0",".",".",".","",".",".","40.0","",".",".","",".","20.0",".",".",".","."
"Professionals","","29","3.875","6.9","3.4",".",".",".","",".",".","82.8","",".",".","",".","3.4",".",".",".","3.4"
"","Dept. Total","134","3.394","28.4","18.7","16.4","6.7","1.5","",".","0.7","23.9","",".",".","",".","1.5","1.5",".",".","0.7"
