"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","201
001","61","3.042","21.3","27.9","16.4","13.1","14.8","4.9",".","1.6",".",".",".",".",".",".",".","."
"","002
201","69","3.058","26.1","17.4","30.4","14.5","4.3","4.3","2.9",".",".",".",".",".",".",".",".","."
"","201
003","71","3.343","36.6","18.3","31.0","4.2","7.0","1.4",".",".",".",".",".",".",".","1.4",".","."
"Principles of Statistics","Course Total","201","3.153","28.4","20.9","26.4","10.4","8.5","3.5","1.0","0.5",".",".",".",".",".","0.5",".","."
"","224
001","64","2.516","14.1","4.7","23.4","14.1","34.4","4.7","4.7",".",".",".",".",".",".",".",".","."
"","002
224","58","2.483","22.4","1.7","24.1","1.7","32.8","10.3","6.9",".",".",".",".",".",".",".",".","."
"","224
003","63","2.571","19.0","7.9","25.4","11.1","19.0","11.1","6.3",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","185","2.524","18.4","4.9","24.3","9.2","28.6","8.6","5.9",".",".",".",".",".",".",".",".","."
"","301
001","90","2.956","17.8","22.2","20.0","22.2","14.4","2.2","1.1",".",".",".",".",".",".",".",".","."
"","002
301","95","3.189","26.3","27.4","21.1","10.5","13.7","1.1",".",".",".",".",".",".",".",".",".","."
"","003
301","141","3.230","31.9","14.9","31.9","10.6","7.1","2.1",".","1.4",".",".",".",".",".",".",".","."
"","301
004","51","3.000","9.8","31.4","29.4","11.8","15.7","2.0",".",".",".",".",".",".",".",".",".","."
"","301
005","32","3.406","37.5","25.0","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","409","3.145","25.2","22.2","25.9","13.0","11.2","1.7","0.2","0.5",".",".",".",".",".",".",".","."
"Intro-Statistical Meths II","302
001","8","3.125","37.5",".","37.5",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Math Statistics","310
001","21","3.548","42.9","38.1","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","311
001","64","2.781","15.6","10.9","35.9","4.7","28.1","1.6","3.1",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","312
001","51","3.078","15.7","23.5","35.3","11.8","13.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","314
001","34","3.288","23.5","23.5","38.2","8.8","2.9",".",".",".",".",".",".",".",".","2.9",".","."
"Applied Regression Analysis","333
001","18","3.694","61.1","27.8","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Time Series","349
001","7","3.667","42.9","28.6","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".","."
"Appl Categorical Data Anal","421
001","36","3.500","27.8","55.6","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","43","3.372","27.9","32.6","30.2","4.7","4.7",".",".",".",".",".",".",".",".",".",".","."
"","431
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","4","***","","","","","","","","","","","","","","","",""
"Intro-Combinatorics","475
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Clinical Trials","542
002","35","3.957","91.4","8.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","572
001","57","3.607","40.4","38.6","19.3",".",".",".",".",".",".",".",".",".",".",".","1.8","."
"Intro-Statistical Inference","610
001","13","3.423","38.5","15.4","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Sample Survey Theory&Method","611
001","16","3.750","62.5","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Statistcl Mthds-Epidemiolgy","642
001","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","698
112","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
146","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
092","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
146","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"Mathematical Statistics","710
001","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
