"ART HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"101
Study of Art, Present&Past","001","","96","3.474","61.5","7.3","13.5","7.3","6.3","1.0","2.1","1.0",".",".",".",".",".",".",".","."
"201
Ancient and Medieval Art","001","","129","2.924","23.3","13.2","29.5","10.9","13.2","2.3","4.7","3.1",".",".",".",".",".",".",".","."
"202
Renaissance to Modern Art","001","","216","3.337","37.5","21.3","19.0","11.1","5.6","0.9","0.9","1.9",".",".",".",".","0.5","1.4",".","."
"300
Greek Art","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"301
Greek Painting","001","","31","3.339","35.5","19.4","32.3","3.2","3.2",".","3.2",".",".",".",".",".",".","3.2",".","."
"333
Netherlandish Painting-17c","001","","35","3.477","37.1","34.3","20.0","2.9",".",".","2.9",".",".",".",".",".",".","2.9",".","."
"337
Study Abroad:18-20 C Art","203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"349
Architecture & Art of Cuba","001","","21","3.412","47.6","9.5","14.3",".","4.8",".","4.8","19.0",".",".",".",".",".",".",".","."
"354
Cross-Cult Arts-Atlantc Rim","001","","74","3.749","58.1","23.0","10.8","1.4",".",".",".","6.8",".",".",".",".",".",".",".","."
"367
Amer Arch: Colonial&Federal","001","","51","2.831","13.7","17.6","29.4","13.7","13.7","3.9","3.9","3.9",".",".",".",".",".",".",".","."
"375
Japanese Paint&Woodblk Prnt","001","","43","3.266","23.3","30.2","30.2","4.7","2.3",".","2.3","4.7",".",".",".",".","2.3",".",".","."
"407
Topics in 19th Century Art","001","","52","3.797","65.4","23.1","7.7",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"423
Buddhist Iconography","001","","32","3.310","25.0","34.4","21.9","3.1","3.1",".","3.1","3.1",".",".",".",".","3.1","3.1",".","."
"461
Real&Figrtve Pnt-US:1900 On","001","","46","3.373","30.4","26.1","19.6","4.3","4.3","2.2",".","13.0",".",".",".",".",".",".",".","."
"479
Art and History in Africa","001","","33","3.717","57.6","24.2","9.1",".","3.0",".",".","6.1",".",".",".",".",".",".",".","."
"500
Prosem:Spec Topics-Art Hist","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"565
Proseminar in American Art","001","","13","3.663","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"602
Mus Train & Connoisseurship","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"682","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","3.895","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","3.696","66.7",".","22.2",".",".",".",".",".",".",".",".","11.1",".",".",".","."
"825
Smr-Italian Renaissance Art","001","","12","3.600","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"876
Seminar in Chinese Art","001","","8","3.250","25.0","37.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
