"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","262","2.558","13.4","8.0","23.7","11.1","31.7","10.3","1.1","0.4",".",".",".",".","0.4",".",".","."
"","002
101","357","2.482","12.9","8.7","23.5","9.2","29.7","13.2","2.8",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","619","2.514","13.1","8.4","23.6","10.0","30.5","12.0","2.1","0.2",".",".",".",".","0.2",".",".","."
"","001
102","18","3.333","38.9","16.7","27.8","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
002","28","2.946","7.1","25.0","35.7","14.3","17.9",".",".",".",".",".",".",".",".",".",".","."
"","102
003","21","3.381","38.1","33.3","19.0","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"","102
004","29","2.983","13.8","13.8","48.3","10.3","10.3","3.4",".",".",".",".",".",".",".",".",".","."
"","102
005","31","3.452","35.5","25.8","35.5",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"","102
006","30","3.417","16.7","53.3","26.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","28","3.673","53.6","28.6","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","32","3.641","59.4","21.9","15.6",".",".","3.1",".",".",".",".",".",".",".",".",".","."
"","102
009","29","3.224","24.1","10.3","55.2","6.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"","010
102","32","3.391","31.3","28.1","34.4",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","011
102","21","3.286","33.3","9.5","42.9","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","012
102","28","3.339","14.3","42.9","39.3","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","013
102","24","2.833","16.7","12.5","29.2","20.8","12.5","8.3",".",".",".",".",".",".",".",".",".","."
"","102
014","30","3.300","20.0","33.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","29","3.310","31.0","13.8","44.8","6.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"","102
016","22","3.295","31.8","18.2","36.4","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
017","19","3.184","15.8","31.6","31.6","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","451","3.302","28.4","25.1","33.9","6.7","4.9","0.9","0.2",".",".",".",".",".",".",".",".","."
"Genetics and Human Affairs","133
001","47","2.574","10.6","17.0","8.5","12.8","46.8","4.3",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","149","2.490","12.8","4.0","28.9","9.4","31.5","10.7","2.7",".",".",".",".",".",".",".",".","."
"","001
152","150","3.193","35.3","10.7","32.7","6.7","11.3","3.3",".",".",".",".",".",".",".",".",".","."
"","152
002","182","3.173","27.5","8.8","46.2","8.2","8.2","1.1",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","332","3.182","31.0","9.6","40.1","7.5","9.6","2.1",".",".",".",".",".",".",".",".",".","."
"Biology Forum","258
001","20","3.725","55.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260
001","106","2.863","20.8","21.7","14.2","9.4","27.4","6.6",".",".",".",".",".",".",".",".",".","."
"Biology Forum (Honors)","285
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","26","3.212","53.8","11.5","7.7","7.7","11.5",".","7.7",".",".",".",".",".",".",".",".","."
"Hum/An Relatn:Bio&Phils Iss","335
001","138","2.956","21.7","7.2","42.8","5.8","17.4","3.6","0.7","0.7",".",".",".",".",".",".",".","."
"Parasitology","350
001","114","2.781","15.8","12.3","32.5","7.0","27.2","2.6","2.6",".",".",".",".",".",".",".",".","."
"Parasitology Laboratory","351
001","19","3.447","36.8","15.8","47.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Entomology","371
001","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Biology","400
001","19","3.622","36.8","52.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410
001","113","2.772","29.2","5.3","21.2","6.2","25.7","8.8","2.7","0.9",".",".",".",".",".",".",".","."
"General Ecology","001
460","55","3.136","27.3","5.5","49.1","10.9","5.5",".","1.8",".",".",".",".",".",".",".",".","."
"General Genetics","001
466","110","2.606","18.2","11.8","20.0","22.7","8.2","10.9","7.3","0.9",".",".",".",".",".",".",".","."
"Intro to Animal Development","470
001","117","3.078","29.1","17.1","19.7","15.4","14.5","2.6","0.9",".",".",".",".",".","0.9",".",".","."
"Plant-Insect Interactions","473
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Marine Biology and Ecology","475
001","51","2.931","19.6","5.9","49.0","3.9","15.7","5.9",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes","510
001","71","3.051","28.2","11.3","25.4","12.7","16.9","2.8",".",".",".",".",".",".","1.4","1.4",".","."
"","511
001","25","3.380","48.0","8.0","24.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 315 of 383",""
