"","993
002","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","993
007","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","993
008","2","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Independent Study-Nutrition","Course Total","4","***","","","","","","","","","","","","","","","","","","","",""
"NUTR SCI
694","Dept. Total","775","2.990","28.1","11.6","20.9","13.2","14.3","5.8","",".","3.1","",".","1.5","",".","1.2","",".","0.3",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","133","2.729","12.0","15.8","20.3","23.3","21.8","6.8","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","160","2.790","16.3","12.5","23.8","20.6","20.6","6.3","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","158","2.956","27.2","7.6","27.8","11.4","16.5","6.3","",".",".","",".","3.2","",".",".","",".",".",".","."
"Senior","","236","3.173","38.1","14.0","20.8","8.1","9.3","6.8","",".",".","",".","3.0","",".",".","",".",".",".","."
"Undergraduates","","687","2.945","25.5","12.5","23.0","14.7","16.0","6.6","",".",".","",".","1.7","",".",".","",".",".",".","."
"Special","","5","2.833","20.0",".",".","20.0","20.0",".","",".",".","",".",".","",".",".","",".","40.0",".","."
"Graduate","","83","3.883","50.6","4.8","4.8",".",".",".","",".","28.9","",".",".","",".","10.8","",".",".",".","."
"","Dept. Total","775","2.990","28.1","11.6","20.9","13.2","14.3","5.8","",".","3.1","",".","1.5","",".","1.2","",".","0.3",".","."
