"LIBRARY & INFORMATION STUD Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","",""
"Organization of Information","551","001","","39","3.731","48.7","48.7","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Sources","571","001","","29","3.517","31.0","44.8","20.7","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Music Resrch Mthds & Matls","619","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","620","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","620","002","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","","Course Total","","16","3.844","81.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Telecom&Libr/Info Agencies","644","001","","19","3.750","57.9","26.3","10.5",".",".",".",".",".",".",".",".",".",".","5.3",".","."
"Cataloging & Classification","651","001","","30","3.621","36.7","50.0","6.7","3.3",".",".",".",".",".",".",".",".",".","3.3",".","."
"Government Info Sources","653","001","","35","3.618","42.9","34.3","20.0",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Info Services Management","654","001","","45","3.722","55.6","35.6","6.7","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Preserv/Conserv-Lib Matls","678","001","","22","3.976","90.9","4.5",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Corporate&Special Info Serv","732","001","","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Archives Adm","734","001","","12","3.773","58.3","25.0","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Lib Serv-Chldrn&Young Adult","772","001","","27","3.778","74.1","14.8","7.4",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Adv Cataloging&Classificatn","815","001","","12","3.864","66.7","25.0",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Reference & Info Service","825","001","","30","3.821","60.0","33.3",".",".",".",".",".","3.3",".",".",".",".",".","3.3",".","."
"On-Line Reference&Info Serv","828","001","","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Reader Services","847","001","","33","3.773","66.7","21.2","12.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Resrch Meth-Libry&Info Stdy","910","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Info Storage & Retrievl","975","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","6","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","990","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","18","3.900","66.7",".",".","5.6",".",".",".","27.8",".",".",".",".",".",".",".","."
"","999","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","008","","7","3.921","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","","Course Total","","16","3.968","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
