"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"","134
002","22","3.441","31.8","31.8","9.1",".",".",".","4.5","22.7",".",".",".",".",".",".",".","."
"","134
003","17","3.292","23.5","29.4","11.8",".",".",".","5.9","29.4",".",".",".",".",".",".",".","."
"","134
004","21","3.958","52.4","4.8",".",".",".",".",".","38.1",".",".",".",".",".","4.8",".","."
"","134
005","20","3.708","30.0","25.0","5.0",".",".",".",".","30.0",".",".",".",".",".","10.0",".","."
"","134
006","21","3.654","28.6","23.8","9.5",".",".",".",".","33.3",".",".",".",".",".","4.8",".","."
"","134
007","26","3.688","50.0","26.9","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Relaxation Tech & Exercise","Course Total","147","3.597","35.4","26.5","9.5",".","0.7",".","1.4","23.1",".",".",".",".",".","3.4",".","."
"","138
001","15","3.214",".","20.0","26.7",".",".",".",".","53.3",".",".",".",".",".",".",".","."
"","138
002","16","3.300","12.5","12.5","37.5",".",".",".",".","31.3","6.3",".",".",".",".",".",".","."
"","138
003","17","3.333","29.4","11.8","35.3","11.8",".",".",".","11.8",".",".",".",".",".",".",".","."
"","004
138","16","3.188","6.3","6.3","37.5",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","005
138","16","3.200","6.3",".","25.0",".",".",".",".","68.8",".",".",".",".",".",".",".","."
"","138
006","16","3.222",".","31.3","18.8","6.3",".",".",".","43.8",".",".",".",".",".",".",".","."
"Golf I","Course Total","96","3.259","9.4","13.5","30.2","3.1",".",".",".","42.7","1.0",".",".",".",".",".",".","."
"","140
001","22","3.063","13.6","4.5",".","9.1","9.1",".",".","63.6",".",".",".",".",".",".",".","."
"","140
002","24","3.625","20.8","8.3",".",".","4.2",".",".","66.7",".",".",".",".",".",".",".","."
"","140
003","21","3.375","19.0","19.0","9.5","4.8","4.8",".",".","42.9",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","67","3.357","17.9","10.4","3.0","4.5","6.0",".",".","58.2",".",".",".",".",".",".",".","."
"Ice Skating II","145
001","19","3.500","21.1","21.1","21.1",".",".",".",".","36.8",".",".",".",".",".",".",".","."
"","155
001","13","3.318","23.1","38.5","7.7",".","15.4",".",".","15.4",".",".",".",".",".",".",".","."
"","155
002","23","3.250","21.7","21.7","30.4","4.3","8.7",".",".","8.7",".",".",".",".",".","4.3",".","."
"Badminton I","Course Total","36","3.274","22.2","27.8","22.2","2.8","11.1",".",".","11.1",".",".",".",".",".","2.8",".","."
"","157
001","24","3.342","4.2","50.0","20.8","4.2",".",".",".","20.8",".",".",".",".",".",".",".","."
"","002
157","22","3.417","27.3","13.6","40.9",".",".",".",".","13.6",".",".",".",".",".","4.5",".","."
"","157
003","22","3.450","31.8","18.2","40.9",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Fencing I","Course Total","68","3.404","20.6","27.9","33.8","1.5",".",".",".","14.7",".",".",".",".",".","1.5",".","."
"","162
001","13","3.857","38.5","15.4",".",".",".",".",".","46.2",".",".",".",".",".",".",".","."
"","002
162","22","3.577","27.3","18.2","9.1","4.5",".",".",".","40.9",".",".",".",".",".",".",".","."
"Tennis I","Course Total","35","3.675","31.4","17.1","5.7","2.9",".",".",".","42.9",".",".",".",".",".",".",".","."
"","001
163","15","3.583","33.3","26.7","20.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","163
002","19","3.643","31.6","31.6","10.5",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"","003
163","16","3.417","31.3","18.8","12.5","6.3","6.3",".",".","25.0",".",".",".",".",".",".",".","."
"","004
163","24","3.618","29.2","29.2","12.5",".",".",".",".","29.2",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","74","3.573","31.1","27.0","13.5","1.4","1.4",".",".","25.7",".",".",".",".",".",".",".","."
"Basketball I","170
001","21","3.474","23.8","42.9","19.0","4.8",".",".",".","4.8",".",".",".",".",".","4.8",".","."
"Soccer I","173
001","22","3.524","40.9","27.3","22.7",".","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"","001
175","33","3.317","27.3","18.2","36.4","3.0","6.1",".",".","6.1","3.0",".",".",".",".",".",".","."
"","002
175","27","3.500","33.3","22.2","25.9","3.7",".",".",".","14.8",".",".",".",".",".",".",".","."
"","175
003","34","3.385","32.4","20.6","14.7","2.9","2.9",".","2.9","23.5",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","94","3.392","30.9","20.2","25.5","3.2","3.2",".","1.1","14.9","1.1",".",".",".",".",".",".","."
"","193
001","21","3.571","23.8","28.6","14.3",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","193
002","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Downhill Skiing I","Course Total","28","3.675","35.7","25.0","10.7",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Orienteering","194
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 101 of 383",""
