"","699
014","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","","","","","",""
"Graduate Survey","802
001","4","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Individual Research Thesis","890
004","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"LATIN
524","Dept. Total","137","3.434","46.0","27.0","12.4","3.6","5.8","1.5","1.5","1.5","",".",".","",".","",".","",".",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","17","3.235","29.4","35.3","11.8","11.8","5.9","5.9",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","31","3.581","41.9","41.9","9.7","3.2","3.2",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","21","3.235","42.9","14.3","23.8","4.8","9.5",".","4.8",".","",".",".","",".","",".","",".",".",".","."
"Senior","","40","3.319","45.0","22.5","15.0","2.5","10.0","2.5","2.5",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","109","3.365","41.3","28.4","14.7","4.6","7.3","1.8","1.8",".","",".",".","",".","",".","",".",".",".","."
"Special","","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","26","3.829","65.4","23.1","3.8",".",".",".",".","3.8","",".",".","",".","",".","",".",".","3.8","."
"","Dept. Total","137","3.434","46.0","27.0","12.4","3.6","5.8","1.5","1.5","1.5","",".",".","",".","",".","",".",".","0.7","."
