"FINANCE, INVESTMENT & BANKI Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","","",""
"Course Total
PhD Thesis-Finance","4","***","","","","","","","","","","","","","","","","","","",""
"FINANCE
Dept. Total
233","1218","3.227","24.1","23.6","33.2","11.5","4.6","1.1","0.3","1.4","",".",".","",".","",".","0.2","0.1",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","280","3.072","17.9","17.1","40.4","16.4","5.0","2.5","0.4","0.4","",".",".","",".","",".",".",".",".","."
"Senior","587","3.143","19.6","21.3","35.6","14.0","6.5","0.9","0.3","1.4","",".",".","",".","",".","0.3","0.2",".","."
"Undergraduates","868","3.120","19.0","19.9","37.2","14.7","6.0","1.4","0.3","1.0","",".",".","",".","",".","0.2","0.1",".","."
"Special","34","3.250","38.2","14.7","26.5","2.9","5.9","2.9","2.9","5.9","",".",".","",".","",".",".",".",".","."
"Graduate","309","3.535","37.2","34.6","22.7","3.2","0.3",".",".","1.9","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","6","3.083","16.7","33.3","16.7","16.7","16.7",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","7","3.071","14.3","28.6","28.6","14.3","14.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Dept. Total","1218","3.227","24.1","23.6","33.2","11.5","4.6","1.1","0.3","1.4","",".",".","",".","",".","0.2","0.1",".","."
