"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"Beginning Class Piano","101
001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","8","3.375",".","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","18","3.472","16.7","61.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
002","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
003","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Class Piano","Course Total","","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","104
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
104","","7","3.214","14.3","42.9","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Class Piano","Course Total","","16","3.250","37.5","18.8","18.8","6.3","18.8",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals: Double Reeds","001
12","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Performance: Voice","143
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Year Composition","148
001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-High Brass","18
001","","13","3.500","53.8","15.4","7.7","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
008","","6","3.769","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
048","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
054","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","39","3.728","61.5","28.2","2.6","2.6",".","2.6",".","2.6",".",".",".",".",".",".",".","."
"Elem/Intmed Organ","203
042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
006","","7","3.850","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","021
205","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","205
031","","13","3.385","15.4","53.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","037
205","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","34","3.667","44.1","38.2","11.8","2.9",".",".",".","2.9",".",".",".",".",".",".",".","."
"","207
010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","207
203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Flute","Course Total","","6","3.882","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Oboe","209
059","","9","3.900","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","211
050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Clarinet","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Element/Intermed Saxophone","213
050","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Bassoon","215
032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
