"BUS","","","","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","","",""
"Ethics & Social Responsblty","Course Total","55","3.418","32.7","23.6","40.0","1.8","1.8",".",".",".","",".",".","",".","",".",".",".",".","."
"","756
001","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","002
756","24","3.583","54.2","8.3","37.5",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","756
003","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Appl Multivariate Analysis","Course Total","39","3.679","61.5","12.8","25.6",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","765
002","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","765
003","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Contemporary Topics","Course Total","8","3.739","62.5","25.0","12.5",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","799
033","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","799
055","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","799
078","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","799
104","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Rdg & Rsch-Business Rsch","Course Total","5","***","","","","","","","","","","","","","","","","","","",""
"PhD Thesis-Gen Ind Rsch","990
078","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"GEN BUS
231","Dept. Total","1679","3.241","27.7","24.4","30.7","7.2","6.8","1.2","0.5","0.5","",".","0.7","",".","",".","0.1","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","63","3.048","9.5","25.4","39.7","19.0","3.2",".","1.6",".","",".","1.6","",".","",".",".",".",".","."
"Sophomore","","141","3.254","24.1","29.8","22.7","15.6","0.7",".","2.1","0.7","",".","4.3","",".","",".",".",".",".","."
"Junior","","518","3.244","24.7","24.7","36.7","4.6","6.4","1.2","0.6","0.2","",".","0.8","",".","",".","0.2",".",".","."
"Senior","","686","3.143","23.8","21.9","30.9","8.7","11.2","2.0","0.3","0.9","",".",".","",".","",".",".","0.3",".","."
"Undergraduates","","1408","3.187","23.5","23.9","32.6","8.4","8.0","1.4","0.6","0.6","",".","0.8","",".","",".","0.1","0.1",".","."
"Special","","14","3.464","42.9","14.3","35.7","7.1",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","253","3.631","49.8","27.7","20.6","0.8","0.8",".",".","0.4","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","3","3.750","33.3","33.3",".",".",".",".",".",".","",".",".","",".","",".",".","33.3",".","."
"Professionals","","4","3.833","50.0","25.0",".",".",".",".",".",".","",".",".","",".","",".",".","25.0",".","."
"","Dept. Total","1679","3.241","27.7","24.4","30.7","7.2","6.8","1.2","0.5","0.5","",".","0.7","",".","",".","0.1","0.2",".","."
