"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"215","001","","54","3.259","40.7","9.3","24.1","13.0","13.0",".",".",".",".",".",".",".",".",".",".","."
"215","002","","77","2.822","18.2","10.4","16.9","27.3","24.7","1.3",".",".",".",".",".",".",".","1.3",".","."
"Intro to Agr & Applied Econ","Course Total","","131","3.004","27.5","9.9","19.8","21.4","19.8","0.8",".",".",".",".",".",".",".","0.8",".","."
"299","064","","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","3.773","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"306
The Real Estate Process","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"319
The Internatl Ag Economy","001","","17","3.147","35.3","17.6","17.6","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"343
Environmental Economics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","7","3.500","57.1","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"420
Production Economics","001","","16","3.031","18.8","18.8","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"421
Econ Analysis-Agric Markets","001","","26","3.596","42.3","34.6","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"473
Econ Grwth&Devlpmnt-SE Asia","001","","13","2.792","23.1",".","38.5","7.7","15.4",".","7.7",".",".",".",".",".","7.7",".",".","."
"474
Econ Probs-Developing Areas","001","","12","3.000","25.0","16.7","25.0",".","25.0",".",".",".",".",".",".",".",".",".","8.3","."
"520
Community Economic Analysis","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"575
Special Topics","001","","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"636
Applied Econometric Anal","001","","16","3.656","31.3","68.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"652
Decisn Meth-Nat Resrc Mangr","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"671
Energy Economics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","16","3.500","37.5","31.3","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","21","3.500","42.9","23.8","19.0","4.8","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"705
Applied Microeconomics","001","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"707
Institutional Economics","001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"760
Dynnamc Natrl Resource Econ","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Practicum: Ag Econ Teaching","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","6","3.769","33.3","33.3",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"881
Benefit-Cost Analysis","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","063","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
