"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"DANCE PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"","452
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
452","","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Dance Repertory Theater","Course Total","","22","3.976","90.9","4.5",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Elem School Dance Stdt Tchg","474
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mid/Sec Schl Dance Stdt Tch","477
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dance Repertory Theater","552
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","560
001","","22","3.705","63.6","18.2","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","002
560","","14","3.925","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
560","","12","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Dance:Wkshp","Course Total","","48","3.778","77.1","8.3","8.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Movemnt-Communicatn-Meaning","561
001","","20","3.425","40.0","35.0","20.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","699
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","","5","***","","","","","","","","","","","","","","","",""
"DANCE
741","Dept. Total","","894","3.674","53.0","17.0","8.9","2.5","0.7","0.3","0.3","16.3","0.2",".",".",".","0.3","0.3",".","."
