"HUMAN ONCOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","",""
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Hum Cancer Bio","Course Total","","3","***","","","","","","","","","","","","","","","",""
"721","001","","10","3.444","20.0","40.0","30.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"721","002","","11","3.438","45.5","27.3","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"Topics-Human Cancer Biology","Course Total","","21","3.440","33.3","33.3","19.0","4.8",".","4.8",".","4.8",".",".",".",".",".",".",".","."
"770
Sems in Human Cancer Biol","001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"820
Human Oncology Selective","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980
Colloq in Human Cancer Biol","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","150","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","151","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch in Human Cancer Bio","Course Total","","22","3.972","77.3",".","4.5",".",".",".",".","13.6",".",".",".","4.5",".",".",".","."
