"DANCE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","1
001","37","3.632","51.4","18.9","18.9",".","2.7",".",".","8.1",".",".",".",".",".",".",".","."
"","002
1","15","3.071","13.3","26.7","46.7",".",".",".","6.7",".",".",".",".",".","6.7",".",".","."
"","1
003","11","3.941","72.7","9.1",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"","1
004","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","73","3.601","53.4","16.4","19.2",".","1.4",".","1.4","6.8",".",".",".",".","1.4",".",".","."
"","11
001","17","3.938","82.4","11.8",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","11
002","15","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Modern Dance I","Course Total","32","3.964","81.3","6.3",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Modern Dance Technique II","112
001","17","3.529","41.2","29.4","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Tech for Gen Majors","113
001","24","3.196","12.5","50.0","8.3","12.5","12.5",".",".",".",".",".",".",".",".","4.2",".","."
"Modern Dance II","12
001","17","3.800","58.8","23.5","5.9",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Theory-Movement for Dancers","161
001","27","3.630","44.4","37.0","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance","205
001","22","3.705","68.2","22.7","4.5",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","21
001","19","3.786","47.4","21.1","5.3",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"","21
002","21","3.750","52.4","23.8","9.5",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Ballet I","Course Total","40","3.766","50.0","22.5","7.5",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Modern Dance Technique IV","212
001","24","3.391","25.0","29.2","37.5","4.2",".",".",".",".",".",".",".",".",".","4.2",".","."
"","22
001","18","3.882","72.2","22.2",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","002
22","14","3.909","64.3","14.3",".",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"Ballet II","Course Total","32","3.893","68.8","18.8",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Ballet Technique II","001
225","30","3.679","73.3",".","10.0","6.7",".","3.3",".","6.7",".",".",".",".",".",".",".","."
"Dance Accompaniment-Music","243
001","8","3.688","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","255
001","12","3.375","33.3","25.0","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","255
002","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Move Comp-Perform/Visul Art","Course Total","21","3.524","38.1","38.1","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","31
001","23","3.625","30.4","47.8","8.7",".",".",".",".","13.0",".",".",".",".",".",".",".","."
"","31
002","26","3.684","57.7","3.8","3.8","3.8",".","3.8",".","23.1",".",".",".",".",".","3.8",".","."
"Modern Jazz Dance","Course Total","49","3.654","44.9","24.5","6.1","2.0",".","2.0",".","18.4",".",".",".",".",".","2.0",".","."
"Modern Dance Technique VI","312
001","12","3.727","41.7","50.0",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Independent Project","399
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","41
001","49","3.667","32.7","12.2","6.1","4.1",".",".",".","42.9",".",".",".",".","2.0",".",".","."
"","41
002","52","3.625","36.5","15.4","15.4","1.9",".",".",".","30.8",".",".",".",".",".",".",".","."
"","41
003","31","3.917","64.5","12.9",".",".",".",".",".","22.6",".",".",".",".",".",".",".","."
"","41
004","39","3.960","61.5",".","2.6",".",".",".",".","33.3",".",".",".",".","2.6",".",".","."
"","41
005","49","3.638","36.7","10.2","8.2",".","4.1",".",".","40.8",".",".",".",".",".",".",".","."
"","41
006","37","4.000","78.4",".",".",".",".",".",".","21.6",".",".",".",".",".",".",".","."
"","41
007","28","3.825","50.0","17.9","3.6",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Ballroom Dancing","Course Total","285","3.792","49.1","9.8","6.0","1.1","0.7",".",".","32.6",".",".",".",".","0.7",".",".","."
"","42
001","29","3.821","34.5","10.3","3.4",".",".",".",".","44.8","6.9",".",".",".",".",".",".","."
"","002
42","21","3.417","33.3","19.0","19.0","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"Ballroom Dance II","Course Total","50","3.594","34.0","14.0","10.0","6.0",".",".",".","32.0","4.0",".",".",".",".",".",".","."
"Ballet Technique IV","425
001","23","3.909","82.6","8.7","4.3",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Advanced Sound Design","430
001","7","3.214","57.1","14.3","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 104 of 383",""
