"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","130","3.043","20.8","23.1","22.3","19.2","9.2","4.6",".","0.8",".",".",".",".",".",".",".","."
"","301
002","22","3.432","45.5","31.8","9.1",".","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","152","3.099","24.3","24.3","20.4","16.4","9.2","4.6",".","0.7",".",".",".",".",".",".",".","."
"","320
001","158","3.101","33.5","13.9","20.9","11.4","12.0","5.1","1.3","1.3",".",".",".",".",".",".","0.6","."
"","320
002","138","3.246","22.5","29.7","26.8","14.5","5.8",".",".","0.7",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","296","3.171","28.4","21.3","23.6","12.8","9.1","2.7","0.7","1.0",".",".",".",".",".",".","0.3","."
"Human Develop-Adolescence","321
001","165","3.091","33.3","12.7","27.3","6.1","12.1","4.8","1.8","1.2",".",".",".",".",".","0.6",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
022","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
026","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","24","3.963","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","9","4.000","77.8",".",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","19","4.000","89.5",".",".",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Child Development","720
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adult Development and Aging","722
001","19","3.789","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Assessment Tech-Schools I","740
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Lrng&Lang Disability-Chldrn","742
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
761","30","3.567","43.3","33.3","20.0",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"","761
002","47","3.622","51.1","21.3","19.1","4.3",".",".",".","2.1",".",".",".",".","2.1",".",".","."
"Stat Meth-Applied to Ed II","Course Total","77","3.600","48.1","26.0","19.5","2.6","1.3",".",".","1.3",".",".",".",".","1.3",".",".","."
"Scaling, Factr&Cluster Anal","001
773","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cognition&Classrm Learng II","796
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Adolescent Development","921
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sysms-Consltn in Schl Psych","942
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Internshp-School Psychology","943
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child,Adoles&Fam Psychother","947
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr in School Psychology","948
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Statistics & Rsch Dsgn","961
001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
014","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
018","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 98 of 383"
