"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","73","2.563","9.6","9.6","24.7","24.7","19.2","6.8","4.1","1.4",".",".",".",".",".",".",".","."
"","002
101","71","3.357","35.2","21.1","26.8","9.9","5.6",".",".","1.4",".",".",".",".",".",".",".","."
"","101
003","68","3.059","14.7","22.1","42.6","7.4","11.8",".","1.5",".",".",".",".",".",".",".",".","."
"","101
004","72","3.174","26.4","27.8","23.6","9.7","6.9","5.6",".",".",".",".",".",".",".",".",".","."
"","005
101","74","3.068","20.3","23.0","33.8","12.2","6.8",".","4.1",".",".",".",".",".",".",".",".","."
"","101
006","24","3.521","45.8","25.0","20.8","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","382","3.072","22.8","20.9","29.6","12.3","9.7","2.4","1.8","0.5",".",".",".",".",".",".",".","."
"Intro to Social Philosophy","001
102","49","2.926","14.3","10.2","34.7","20.4","16.3",".",".",".","2.0",".",".",".",".","2.0",".","."
"Spec Topics:Philos-Freshmen","104
001","16","3.281","18.8","31.3","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","83","2.659","9.6","9.6","31.3","19.3","20.5","7.2","1.2","1.2",".",".",".",".",".",".",".","."
"","002
210","18","3.139","22.2","16.7","50.0",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","101","2.745","11.9","10.9","34.7","15.8","17.8","6.9","1.0","1.0",".",".",".",".",".",".",".","."
"","211
001","72","3.479","50.0","18.1","13.9","11.1","2.8",".","1.4","2.8",".",".",".",".",".",".",".","."
"","211
002","61","2.833","29.5","9.8","14.8","8.2","18.0","11.5","1.6","4.9",".",".",".",".",".","1.6",".","."
"Elementary Logic","Course Total","133","3.189","40.6","14.3","14.3","9.8","9.8","5.3","1.5","3.8",".",".",".",".",".","0.8",".","."
"Philosophy and the Sciences","220
001","61","3.642","54.1","21.3","19.7","3.3",".",".",".","1.6",".",".",".",".",".",".",".","."
"","241
001","72","3.029","13.9","19.4","34.7","22.2","4.2","2.8",".","2.8",".",".",".",".",".",".",".","."
"","002
241","77","3.435","40.3","24.7","22.1","7.8","5.2",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","149","3.241","27.5","22.1","28.2","14.8","4.7","1.3",".","1.3",".",".",".",".",".",".",".","."
"Ethics in Business","001
243","76","2.987","9.2","23.7","34.2","23.7","6.6",".","1.3","1.3",".",".",".",".",".",".",".","."
"Philosophy of the Arts","253
001","49","3.255","20.4","26.5","42.9","4.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Philos of Religion","261
001","48","3.489","29.2","43.8","6.3","12.5",".",".",".","6.3",".",".",".",".",".","2.1",".","."
"Classic Texts in Philosophy","264
001","9","3.278","55.6","11.1","11.1",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","341
001","78","3.201","19.2","20.5","43.6","11.5","3.8",".",".",".",".",".",".",".",".","1.3",".","."
"","341
091","18","2.833","5.6","5.6","72.2","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","341
092","20","3.775","70.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","341
093","23","3.630","43.5","39.1","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","094
341","21","3.262","14.3","28.6","52.4","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","341
095","20","3.200","20.0","50.0","15.0",".","10.0",".","5.0",".",".",".",".",".",".",".",".","."
"","341
096","21","3.690","57.1","23.8","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","201","3.333","29.4","25.4","34.8","6.0","3.0",".","1.0",".",".",".",".",".",".","0.5",".","."
"Hist of Ancient Philosophy","430
001","55","3.464","34.5","36.4","25.5","1.8",".",".","1.8",".",".",".",".",".",".",".",".","."
"History-Modern Philosophy","432
001","54","2.796","14.8","22.2","20.4","18.5","16.7","1.9","5.6",".",".",".",".",".",".",".",".","."
"Jewish Philos:Antiquity-17c","435
001","14","3.536","35.7","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Ethics","441
001","39","3.289","25.6","33.3","25.6","2.6","7.7","2.6",".",".",".",".",".",".",".","2.6",".","."
"","454
001","38","3.097","10.5","34.2","21.1","21.1","7.9",".",".","5.3",".",".",".",".",".",".",".","."
"","454
203","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Classical Philosophers","Course Total","39","3.122","12.8","33.3","20.5","20.5","7.7",".",".","5.1",".",".",".",".",".",".",".","."
"","455
001","21","3.602","66.7","4.8","14.3","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","455
203","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Recent Philosophy","Course Total","22","3.575","63.6","4.5","18.2","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"Recent Philosophy","465
001","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Honors Seminar","481
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 268 of 383",""
