"","999
036","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
038","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
039","3","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","17","4.000","70.6",".",".",".",".","",".","",".","17.6","",".",".","",".","11.8",".",".",".","."
"ELPA
305","Dept. Total","503","3.901","77.7","10.7","2.8","0.2","0.2","",".","",".","4.0","",".",".","",".","4.0","0.2",".",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","4","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","15","3.971","93.3","6.7",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","22","3.982","95.5","4.5",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","","67","3.864","77.6","19.4","3.0",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","408","3.904","76.5","9.8","2.9","0.2","0.2","",".","",".","4.9","",".",".","",".","4.9","0.2",".",".","0.2"
"Prof Yr 3","","6","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","6","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","503","3.901","77.7","10.7","2.8","0.2","0.2","",".","",".","4.0","",".",".","",".","4.0","0.2",".",".","0.2"
