"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"200
Biol&Apprec-Companion Anmls","001","","152","2.901","22.4","13.2","23.7","18.4","16.4","4.6","1.3",".",".",".",".",".",".",".",".","."
"221
Adv Meat Animal Eval Lab","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"250
Horse Science & Management","001","","16","3.467","37.5","25.0","18.8","12.5",".",".",".","6.3",".",".",".",".",".",".",".","."
"289
Honors Independent Study","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","3.763","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"305
Intro-Meat Sci & Technology","001","","35","2.943","20.0","5.7","40.0","11.4","22.9",".",".",".",".",".",".",".",".",".",".","."
"321
Regulatory & Qual Standards","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"360
Principles-Animal Breeding","001","","31","2.855","9.7","12.9","41.9","9.7","25.8",".",".",".",".",".",".",".",".",".",".","."
"375","002","","21","3.548","38.1","33.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375","004","","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","38","3.635","44.7","34.2","18.4",".",".",".",".",".",".",".",".",".",".","2.6",".","."
"414
Ruminant Nutrition","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"415
Appl-Monogastrc Nutr Prncpl","001","","6","3.250","16.7","50.0","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"430
Sheep Production","001","","16","3.313","31.3","18.8","37.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","30","2.900","16.7","20.0","16.7","26.7","16.7","3.3",".",".",".",".",".",".",".",".",".","."
"505
Rumen Microbiology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"524
Seminar in Avian Biology II","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","15","3.881","86.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"799
Practicum-Animal Sci Tchng","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Seminar in Animal Nutrition","001","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
Seminar in Animal Breeding","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"954
Endocrinlgy-Reprodctve Phys","001","","10","4.000","10.0",".",".",".",".",".",".","90.0",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 34 of 383"
