"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","126","2.732","11.9","8.7","44.4","3.2","23.0","5.6","2.4",".",".",".",".",".",".","0.8",".","."
"","201
002","75","2.667","14.7","13.3","37.3",".","21.3","6.7","6.7",".",".",".",".",".",".",".",".","."
"Statics","Course Total","201","2.708","12.9","10.4","41.8","2.0","22.4","6.0","4.0",".",".",".",".",".",".","0.5",".","."
"","202
001","15","2.567","13.3","20.0","20.0","26.7",".","6.7","13.3",".",".",".",".",".",".",".",".","."
"","202
002","16","2.750","25.0","6.3","37.5","6.3","6.3","12.5","6.3",".",".",".",".",".",".",".",".","."
"","202
003","22","2.500","4.5","18.2","13.6","36.4","13.6","9.1","4.5",".",".",".",".",".",".",".",".","."
"","202
004","22","2.841","22.7","13.6","9.1","27.3","22.7","4.5",".",".",".",".",".",".",".",".",".","."
"","202
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Dynamics","Course Total","78","2.647","15.4","14.1","17.9","25.6","14.1","7.7","5.1",".",".",".",".",".",".",".",".","."
"Statics & Mech of Materials","214
001","10","3.100","20.0","40.0","20.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","303
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
303","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","303
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","11","3.273","27.3","18.2","45.5",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","304
001","13","2.808","23.1","15.4","23.1","7.7","15.4","15.4",".",".",".",".",".",".",".",".",".","."
"","304
002","10","2.200","10.0",".","10.0","40.0","10.0","30.0",".",".",".",".",".",".",".",".",".","."
"","003
304","9","2.389","22.2","11.1",".","22.2","22.2","11.1","11.1",".",".",".",".",".",".",".",".","."
"","304
004","18","2.722","16.7",".","33.3","33.3","5.6","11.1",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","50","2.580","18.0","6.0","20.0","26.0","12.0","16.0","2.0",".",".",".",".",".",".",".",".","."
"","307
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","9","3.333","22.2","22.2","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","19","3.368","21.1","42.1","31.6",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Mech of Materials I","506
001","18","2.861","5.6","33.3","27.8","5.6","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"Composite Materials","508
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fracture Mechanics","519
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Exp Vib & Dynamic Sys Anal","540
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanical Vibrations","545
001","16","2.969","6.3","31.3","31.3","25.0",".","6.3",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis II","548
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","569
001","7","3.286","28.6","14.3","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","569
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","Course Total","8","3.250","25.0","12.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","601
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics: Engr Mech","Course Total","7","3.567","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Mech Testing-Materials","611
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Satellite Dynamics","642
001","6","2.917","16.7",".","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
