"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","212","2.943","17.5","12.7","34.0","21.2","9.0","4.2","0.5","0.5",".",".",".",".","0.5",".",".","."
"","002
300","216","3.130","22.2","21.8","31.9","14.4","6.9","2.3","0.5",".",".",".",".",".",".",".",".","."
"","300
003","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","437","3.052","20.6","17.6","32.5","17.4","7.8","3.2","0.5","0.2",".",".",".",".","0.2",".",".","."
"","305
001","75","3.014","6.7","25.3","44.0","14.7","5.3","2.7",".","1.3",".",".",".",".",".",".",".","."
"","305
002","73","2.897","15.1","13.7","35.6","20.5","9.6","4.1","1.4",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","148","2.956","10.8","19.6","39.9","17.6","7.4","3.4","0.7","0.7",".",".",".",".",".",".",".","."
"","399
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
031","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
001","27","3.222","29.6","14.8","37.0","7.4","11.1",".",".",".",".",".",".",".",".",".",".","."
"","420
002","35","3.400","28.6","28.6","37.1","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"Org & Mgmt Processes","Course Total","62","3.323","29.0","22.6","37.1","6.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Mgt:Decisn,Implmntatn&Cntrl","421
001","39","3.269","20.5","20.5","51.3","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","422
001","27","3.389","40.7","18.5","29.6","7.4",".","3.7",".",".",".",".",".",".",".",".",".","."
"","423
001","23","3.217","26.1","17.4","34.8","17.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"","423
002","21","3.225","28.6","19.0","23.8","14.3","9.5",".",".","4.8",".",".",".",".",".",".",".","."
"Administrative Policy","Course Total","44","3.221","27.3","18.2","29.5","15.9","6.8",".",".","2.3",".",".",".",".",".",".",".","."
"Personnel Staffing & Eval","611
001","37","3.243","21.6","32.4","29.7","5.4","10.8",".",".",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","612
001","22","3.205","9.1","31.8","50.0","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Rsrce Skills-Managers","613
001","20","3.806","65.0","15.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Organizational Behavior","001
700","16","3.372","31.3","12.5","56.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
001","32","3.891","78.1","21.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
002","37","3.932","89.2","8.1","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","Course Total","69","3.913","84.1","14.5","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","702
001","27","3.720","55.6","22.2","14.8",".",".",".",".",".",".",".",".",".","3.7",".",".","3.7"
"","702
002","43","3.837","72.1","23.3","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership in Organizations","Course Total","70","3.794","65.7","22.9","8.6",".",".",".",".",".",".",".",".",".","1.4",".",".","1.4"
"Human Resource Management","705
001","14","3.679","57.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org & Management Processes","720
001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sm Bus Mgmt/Entrepreneurshp","722
001","44","3.721","56.8","27.3","13.6",".",".",".",".",".",".",".",".",".",".","2.3",".","."
"","723
003","25","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
723","26","3.712","46.2","50.0","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","51","3.706","43.1","54.9","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725
001","39","3.513","38.5","30.8","28.2",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","725
002","38","3.447","36.8","31.6","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Strategc Mgmt-Innovatn&Tech","Course Total","77","3.481","37.7","31.2","24.7","2.6","3.9",".",".",".",".",".",".",".",".",".",".","."
"Small Business Planning","001
727","28","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","728
001","13","3.577","61.5","7.7","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Organizational Intervention","731
001","7","3.500","42.9","42.9",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","765
001","8","3.429","25.0","25.0","37.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","765
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 62 of 383"
